2454071.80 18.158 0.013
2454073.79 18.196 0.018
2454075.84 18.255 0.016
2454085.77 18.335 0.014
2454087.77 18.383 0.015
2454091.80 18.438 0.016
2454092.83 18.471 0.016
2454099.80 18.610 0.017
2454100.75 18.589 0.025
2454102.78 18.539 0.054
2454105.75 18.667 0.032
2454108.84 18.700 0.021
2454112.80 18.763 0.019
2454118.76 18.798 0.025
2454123.79 18.903 0.024
2454127.72 18.954 0.020
2454130.69 18.958 0.027
2454133.75 18.974 0.050
2454136.78 19.122 0.030
2454143.73 19.295 0.026
2454147.66 19.334 0.037
2454161.64 19.632 0.060
2454163.73 19.962 0.099
2454165.66 19.963 0.062
2454182.69 21.244 0.097
