2453250.58 19.568 0.021
2453251.62 19.573 0.019
2453253.62 19.611 0.017
2453256.61 19.581 0.017
2453257.60 19.547 0.020
2453259.58 19.527 0.017
2453260.59 19.598 0.019
2453261.54 19.592 0.018
2453262.55 19.599 0.018
2453263.57 19.611 0.023
2453264.58 19.647 0.019
2453265.72 19.680 0.018
2453266.60 19.744 0.020
2453267.59 19.748 0.017
2453268.60 19.783 0.023
2453272.62 19.972 0.035
2453273.61 20.060 0.051
2453273.65 20.028 0.058
2453274.60 19.994 0.052
2453275.64 20.152 0.074
2453277.57 20.424 0.079
2453278.58 20.535 0.064
2453279.59 20.599 0.053
2453280.58 20.678 0.038
2453281.58 20.828 0.042
