2451283.50 17.617 0.015
2451284.50 17.537 0.015
2451285.50 17.517 0.015
2451286.50 17.571 0.015
2451291.50 17.486 0.015
2451294.50 17.515 0.012
2451294.50 17.502 0.011
2451295.50 17.515 0.029
2451296.50 17.604 0.023
2451299.48 17.603 0.042
2451301.50 17.609 0.011
2451301.50 17.602 0.015
2451301.52 17.571 0.026
2451304.50 17.596 0.015
2451305.50 17.602 0.015
2451305.75 17.603 0.016
2451309.61 17.589 0.016
2451309.50 17.605 0.007
2451314.57 17.544 0.015
2451317.50 17.612 0.015
2451318.59 17.523 0.015
2451323.50 17.625 0.040
2451328.49 17.527 0.022
2451330.48 17.552 0.015
2451335.49 17.569 0.016
2451345.48 17.570 0.019
2451352.46 17.603 0.018
2451356.48 17.659 0.025
2451366.47 17.677 0.008
2451367.45 17.686 0.039
2451380.48 17.693 0.014
2451643.69 22.681 0.081
