2453404.74 17.517 0.011
2453406.78 17.556 0.013
2453407.80 17.573 0.013
2453408.77 17.577 0.013
2453409.77 17.606 0.014
2453410.78 17.621 0.012
2453411.80 17.663 0.015
2453412.77 17.623 0.010
2453413.77 17.638 0.013
2453414.75 17.663 0.012
2453415.78 17.671 0.015
2453416.80 17.681 0.012
2453417.76 17.694 0.014
2453418.78 17.743 0.013
2453419.77 17.734 0.015
2453419.81 17.757 0.012
2453420.78 17.751 0.012
2453421.82 17.808 0.014
2453422.74 17.755 0.098
2453424.76 17.863 0.027
2453426.73 17.913 0.026
2453427.73 17.897 0.019
2453428.70 17.951 0.016
2453429.69 17.947 0.024
2453430.74 17.998 0.015
2453431.70 18.023 0.016
2453436.69 18.112 0.015
2453445.70 18.263 0.016
2453446.70 18.284 0.017
2453452.63 18.318 0.052
2453454.67 18.388 0.030
2453455.68 18.377 0.032
2453456.71 18.453 0.027
2453457.64 18.454 0.019
2453458.60 18.445 0.020
2453460.61 18.514 0.018
2453464.65 18.569 0.017
2453465.65 18.581 0.015
2453466.64 18.624 0.023
2453475.58 18.814 0.016
2453512.52 20.820 0.118
