2453436.76 16.615 0.007
2453444.80 16.664 0.010
2453445.78 16.706 0.010
2453446.79 16.711 0.007
2453452.71 16.805 0.009
2453453.67 16.828 0.010
2453454.71 16.858 0.009
2453455.76 16.887 0.011
2453456.76 16.930 0.010
2453457.74 16.960 0.009
2453458.68 16.998 0.009
2453459.72 17.029 0.010
2453460.65 17.070 0.009
2453461.61 17.102 0.009
2453464.71 17.204 0.008
2453465.72 17.227 0.010
2453466.71 17.255 0.009
2453468.69 17.322 0.009
2453472.71 17.428 0.008
2453474.68 17.477 0.008
2453476.71 17.511 0.011
2453489.69 17.753 0.008
2453491.69 17.792 0.011
2453512.72 18.444 0.024
