2454484.71 15.926 0.006
2454486.67 16.028 0.009
2454488.63 16.124 0.009
2454490.60 16.185 0.009
2454492.66 16.194 0.009
2454493.65 16.224 0.007
2454494.64 16.208 0.009
2454497.64 16.249 0.007
2454499.63 16.298 0.007
2454508.67 16.426 0.011
2454512.61 16.455 0.007
2454517.60 16.470 0.008
2454523.54 16.502 0.010
2454527.54 16.514 0.011
2454540.56 16.659 0.009
2454542.51 16.690 0.009
2454543.51 16.735 0.009
2454545.53 16.809 0.026
2454547.52 16.869 0.013
2454560.49 18.500 0.027
2454566.48 19.016 0.040
2454573.48 19.094 0.032
2454575.48 19.238 0.034
2454589.48 19.303 0.027
2454592.48 19.345 0.047
2454597.48 19.402 0.025
