2453786.80 16.322 0.008
2453788.72 16.301 0.007
2453790.56 16.304 0.007
2453795.57 16.438 0.006
2453798.60 16.569 0.009
2453799.61 16.604 0.006
2453801.61 16.712 0.009
2453802.64 16.776 0.008
2453804.69 16.855 0.009
2453809.60 17.051 0.012
2453818.61 17.257 0.010
2453819.64 17.255 0.010
2453823.57 17.330 0.010
2453824.56 17.343 0.010
2453835.49 17.528 0.013
2453840.52 17.665 0.015
2453845.50 17.838 0.012
2453853.53 18.514 0.023
2453861.47 19.473 0.069
2453862.49 19.452 0.057
2453867.46 19.461 0.059
2453872.46 19.686 0.040
2453891.46 19.967 0.087
