2454484.77 17.945 0.013
2454490.75 18.041 0.021
2454494.78 18.132 0.011
2454497.77 18.237 0.011
2454499.76 18.280 0.011
2454508.82 18.586 0.013
2454515.75 18.764 0.073
2454517.75 18.895 0.043
2454519.75 18.920 0.025
2454521.79 18.939 0.024
2454527.71 19.099 0.020
2454538.77 19.335 0.014
2454540.66 19.374 0.017
2454542.63 19.404 0.027
2454549.70 19.581 0.062
2454560.67 19.945 0.030
2454566.73 20.271 0.042
2454569.77 20.545 0.054
2454571.65 20.506 0.078
2454580.63 21.390 0.143
2454592.64 21.860 0.111
2454648.52 22.913 0.252
2454653.49 22.782 0.188
2454654.50 23.204 0.379
