2453321.86 17.523 0.009
2453323.85 17.522 0.009
2453324.86 17.553 0.020
2453325.82 17.588 0.026
2453327.80 17.549 0.008
2453330.75 17.560 0.008
2453332.72 17.538 0.010
2453336.84 17.534 0.012
2453345.80 17.527 0.010
2453349.74 17.536 0.009
2453362.71 17.600 0.010
2453369.66 17.662 0.012
2453373.76 17.710 0.010
2453380.64 17.812 0.014
2453386.71 17.948 0.011
2453394.71 18.187 0.021
2453396.66 18.266 0.018
2453398.62 18.353 0.016
2453399.62 18.435 0.015
2453401.62 18.576 0.030
2453404.64 18.690 0.015
2453406.64 18.910 0.015
2453408.61 19.225 0.017
2453409.61 19.385 0.020
2453410.63 19.556 0.020
2453411.60 19.697 0.032
2453412.59 19.831 0.031
2453413.64 19.919 0.030
2453414.59 19.895 0.029
2453416.59 20.034 0.032
2453417.60 20.069 0.043
2453418.59 19.920 0.113
2453419.60 20.045 0.052
2453421.62 20.062 0.083
2453425.58 20.188 0.109
2453426.59 20.123 0.081
2453427.59 20.103 0.085
2453428.52 20.166 0.039
2453430.57 20.279 0.049
2453431.55 20.162 0.031
2453444.53 20.339 0.032
2453445.55 20.255 0.033
2453446.55 20.386 0.039
2453451.52 20.204 0.079
2453452.52 20.310 0.056
2453453.53 20.418 0.076
2453454.56 20.352 0.104
2453455.53 20.383 0.114
2453456.53 20.371 0.077
2453457.51 20.437 0.054
2453464.50 20.481 0.040
2453465.50 20.519 0.039
2453466.50 20.418 0.050
2453468.51 20.592 0.031
