2453274.77 17.499 0.008 
2453275.79 17.377 0.009 
2453276.80 17.311 0.011 
2453277.77 17.254 0.009 
2453279.76 17.177 0.009 
2453280.77 17.146 0.009 
2453281.78 17.132 0.010 
2453287.76 17.119 0.006 
2453289.85 17.127 0.005 
2453291.82 17.133 0.005 
2453295.84 17.181 0.008 
2453299.73 17.196 0.009 
2453300.77 17.202 0.009 
2453301.76 17.225 0.008 
2453302.79 17.210 0.009 
2453303.76 17.242 0.009 
2453305.83 17.219 0.013 
2453308.76 17.303 0.011 
2453310.81 17.327 0.010 
2453315.81 17.414 0.010 
2453321.77 17.490 0.008 
2453325.74 17.535 0.009 
2453328.73 17.566 0.009 
2453332.67 17.598 0.021 
2453336.70 17.625 0.012 
2453345.70 17.678 0.010 
2453348.70 17.691 0.008 
2453363.64 17.740 0.013 
2453369.62 17.773 0.010 
2453373.63 17.782 0.008 
2453381.63 17.888 0.009 
2453396.59 18.129 0.016 
2453397.58 18.074 0.018 
2453402.62 18.274 0.011 
2453410.59 18.611 0.013 
2453417.57 18.902 0.023 
2453419.56 19.078 0.032 
2453421.58 19.132 0.053 
2453426.56 19.316 0.058 
2453431.51 19.728 0.050 
2453446.50 19.872 0.073 
2453454.51 20.549 0.524 
