2454153.85 15.458 0.009
2454154.88 15.474 0.008
2454159.87 15.494 0.007
2454161.81 15.509 0.008
2454163.83 15.516 0.010
2454165.84 15.531 0.008
2454166.84 15.539 0.007
2454170.85 15.634 0.009
2454172.84 15.696 0.009
2454174.90 15.747 0.008
2454179.87 15.865 0.008
2454181.84 15.912 0.008
2454182.81 15.931 0.010
2454185.85 16.006 0.008
2454197.83 16.201 0.010
2454204.86 16.322 0.008
2454218.79 16.479 0.008
2454226.88 16.598 0.012
2454231.82 16.682 0.007
2454245.76 17.030 0.008
2454331.55 19.263 0.029
2454331.55 19.319 0.032
