   8.330295967E+04  -4.848520723E+47   6.403431245E+50   6.727067301E+50   1.312565003E+51   2.247117825E+51
   8.500786902E+04  -4.795083866E+47   6.404935803E+50   6.726114235E+50   1.312625495E+51   2.247178318E+51
   8.670465407E+04  -4.742664050E+47   6.404392630E+50   6.727161437E+50   1.312681140E+51   2.247233963E+51
   8.840667953E+04  -4.690824140E+47   6.401935336E+50   6.730081679E+50   1.312732619E+51   2.247285442E+51
   9.010507007E+04  -4.639817231E+47   6.397733856E+50   6.734696353E+50   1.312779039E+51   2.247331862E+51
   9.180293372E+04  -4.589527211E+47   6.391896235E+50   6.740901422E+50   1.312820813E+51   2.247373636E+51
   9.350711623E+04  -4.539736690E+47   6.384361340E+50   6.748755046E+50   1.312857665E+51   2.247410488E+51
   9.520050939E+04  -4.490923938E+47   6.374650473E+50   6.758727285E+50   1.312888683E+51   2.247441506E+51
   9.690196629E+04  -4.442526843E+47   6.361175821E+50   6.772405625E+50   1.312913892E+51   2.247466715E+51
   9.860369101E+04  -4.394761905E+47   6.342592693E+50   6.791137534E+50   1.312933546E+51   2.247486369E+51
   1.003038006E+05  -4.347672753E+47   6.318303047E+50   6.815529521E+50   1.312948490E+51   2.247501312E+51
   1.020030405E+05  -4.301231179E+47   6.288549013E+50   6.845349363E+50   1.312959714E+51   2.247512537E+51
   1.037025820E+05  -4.255395536E+47   6.252693800E+50   6.881242103E+50   1.312968051E+51   2.247520873E+51
   1.054006001E+05  -4.210222688E+47   6.213368115E+50   6.920599536E+50   1.312975743E+51   2.247528566E+51
   1.071003176E+05  -4.165573804E+47   6.151983939E+50   6.979756877E+50   1.312757524E+51   2.247310347E+51
   1.088014429E+05  -4.121450708E+47   6.035855138E+50   7.080062605E+50   1.311179629E+51   2.245732452E+51
   1.105029145E+05  -4.077929973E+47   5.935404138E+50   7.179109807E+50   1.311043602E+51   2.245596424E+51
   1.122002793E+05  -4.035132600E+47   5.838715421E+50   7.275114903E+50   1.310979519E+51   2.245532342E+51
   1.139064646E+05  -3.992737932E+47   5.743710782E+50   7.369652847E+50   1.310937089E+51   2.245489912E+51
   1.156036100E+05  -3.951191088E+47   5.650895709E+50   7.462106957E+50   1.310905147E+51   2.245457970E+51
   1.173061777E+05  -3.910136465E+47   5.559375591E+50   7.553324901E+50   1.310879035E+51   2.245431858E+51
   1.190098903E+05  -3.869680263E+47   5.469272951E+50   7.643163471E+50   1.310856674E+51   2.245409497E+51
   1.207037184E+05  -3.830078377E+47   5.381196097E+50   7.731007009E+50   1.310837303E+51   2.245390125E+51
   1.224144090E+05  -3.790707222E+47   5.294227040E+50   7.817759474E+50   1.310819581E+51   2.245372403E+51
   1.241053899E+05  -3.752403917E+47   5.208835477E+50   7.902948137E+50   1.310803121E+51   2.245355944E+51
   1.258178608E+05  -3.714232588E+47   5.123141271E+50   7.988452529E+50   1.310787957E+51   2.245340779E+51
   1.275082995E+05  -3.677159055E+47   5.039840459E+50   8.071579544E+50   1.310774284E+51   2.245327107E+51
   1.292179394E+05  -3.640272719E+47   4.957273925E+50   8.153982079E+50   1.310761573E+51   2.245314396E+51
