JD,Line,Velocity [km/s],Velocity_Error [km/s]
2457443,Hbeta,5519.66,78.64
2457448,Hbeta,5182.95,149.02
2457454,Hbeta,5056.95,180.33
2457459,Hbeta,4810.62,234.56
2457467,Hbeta,4904.79,99.99
2457472,Hbeta,5188.99,365.57
2457482,Hbeta,4639.48,395.53
2457489,Hbeta,4875.31,146.99
2457494,Hbeta,5155.06,121.28
2457500,Hbeta,5292.71,80.34
2457511,Hbeta,4401.04,249.91
