,t_from_discovery,temp,dtemp0,dtemp1,radius,dradius0,dradius1,Lum,dLum0,dLum1
0,13.862634233330027,13.211592369880442,0.6963649120892512,0.8015305373590138,11328948172.34863,709448265.202692,785755033.1561131,1.0383922280458885e+36,1.9518799501713908e+34,1.974238045528205e+34
1,15.820539999935136,12.656856725553261,0.38916878025828083,0.3477397065704242,11664777038.134277,430493313.70593625,487068814.133744,9.796894347087607e+35,8.347680324704131e+33,1.0435946606585789e+34
2,16.85981594999612,12.288403137649347,0.5665010658485379,0.5074849253850662,12437581515.135054,673367890.4922618,738311948.924043,1.0221869251951129e+36,1.2378071488190886e+34,1.668199177183218e+34
3,19.86790624999412,10.211879536583975,0.4145300528804672,0.4156415964951261,16033927678.440899,847940326.133808,1027694416.8694385,9.98027067705194e+35,1.3940553280957308e+34,1.8076956910927012e+34
4,22.856216449996282,9.433420632761935,0.4049550207715473,0.35222481055679467,17810625685.518013,940463537.8571227,1276432646.8184884,9.537911278511244e+35,1.3742403398234552e+34,1.5946935116685832e+34
5,25.84153475000494,8.187543728687652,0.24092981306333705,0.27160010336913665,21773165124.379196,1189765044.9643373,1074927670.8747563,8.693464897369782e+35,1.337634833442673e+34,1.3629693622134234e+34
6,33.67679999992106,6.742727085495478,0.04664815309953596,0.07511092020927812,28040423376.165176,623344016.437719,450599075.29001445,6.780272382915677e+35,5.252813668633137e+33,5.330196194077949e+33
7,34.76890000001731,6.79989648520448,0.06584247204635041,0.06183096539474864,27872016327.694195,482164939.81940347,477055539.2934605,6.9171161247869e+35,6.133864835007452e+33,6.137080336672504e+33
8,34.83314354999311,6.343618455210798,0.17705286358192485,0.12673901761402995,33020352335.196865,1480357940.6530557,2125782007.2986622,7.224290710596462e+35,1.223867001161742e+34,1.0880814755364534e+34
9,36.72153333328606,5.955307163829088,0.11424565377550522,0.0877218736384684,34660611746.23992,1493023056.7243848,1659452742.8878913,6.009934049538821e+35,1.2276828022093084e+34,1.1911781814508722e+34
10,40.658160000013595,6.274444427675787,0.06117194546911264,0.07161519144090711,32041147569.306694,740226256.8811362,750972518.2223,6.500477768324873e+35,5.58416608531242e+33,4.614914086362113e+33
11,41.84462500000518,5.436716408957082,0.12381847055070683,0.13454944801728264,44431480164.25438,2528518182.737268,2510158018.5653496,6.425893836680772e+35,1.0022329332589342e+34,1.1165043277242173e+34
12,44.63525999998092,5.753188525180185,0.037878593033013,0.04161322067658979,35836062907.701454,606835517.3379378,570428464.7144232,5.486822397814323e+35,3.7700737862856195e+33,3.26032577796066e+33
13,46.62903999993432,5.509129086580332,0.04635483414359953,0.052452379210475186,39399809768.634514,784738911.471278,733306411.3774562,5.407011558859124e+35,3.659028829516277e+33,3.8895922153430124e+33
14,48.665720000019064,5.035825457081919,0.04789969564147967,0.049863892867838544,49451375540.339714,1386488865.8020353,1511658907.1780581,5.464158826324565e+35,5.787923656839619e+33,7.501668818703221e+33
15,55.74321300000156,4.670270076628137,0.138525986297104,0.12979551709467163,60399065530.29271,4470160696.44147,5112004469.23085,5.4755684546682144e+35,8.61251091515344e+33,1.0494024211355504e+34
16,56.66639999998006,5.151825612495829,0.030635573953222917,0.03802944100666217,41857299885.87222,842691786.594682,699079855.6723814,4.404191943209252e+35,3.628996444584236e+33,3.3939373220526516e+33
17,63.693620000027295,5.072356016539679,0.059451002910653195,0.07351699153229241,40989250410.098854,1425908629.2184007,1275578143.4726217,3.89750791099509e+35,3.6723485207825045e+33,5.411333059393921e+33
18,63.813027749994944,4.385683961474282,0.13507262172433432,0.13815927959653962,66773544722.79085,6093475654.235961,5889232021.228531,4.740431403715608e+35,9.961873345604574e+33,1.1771035085003971e+34
