,t_from_disovery,Ni_mass
0,0.014083333342568947,1.1114483006010833
1,0.5480200001329649,1.0570632696800712
2,3.0057166666883863,0.8445756705458827
3,3.267400000120688,0.8251890339065215
4,6.6533833333451184,0.6190408486156287
5,9.646150000036867,0.490944047845606
6,14.590616666821006,0.3522864320518244
7,17.39307500005816,0.3006178415264227
8,22.57889999995677,0.23660308263926397
9,24.57716666677152,0.2194488067867554
10,25.19053333333432,0.21480176711875681
11,30.93631666668807,0.18171843621525413
12,34.17986666678189,0.16894604124816454
13,39.176400000105794,0.1542536335598553
14,41.37098333335597,0.14911082586215182
15,103.6387666667506,0.08050911925116802
16,107.38619999990624,0.07784134256305292
17,115.01313999996636,0.07268350934028915
18,122.74782500005676,0.06780296172128619
19,129.0245200001009,0.0640847126790309
20,131.6147200000778,0.06261044782648294
21,146.9360249999736,0.054558347785573655
22,163.60445999999502,0.04696997837449958
23,179.57092499991998,0.040692922970580296
24,194.92745999994804,0.035448463569315046
25,196.40403999996488,0.03498128638237877
26,214.73311999992438,0.02966985295309142
27,232.9090333332933,0.025199543444514673
28,238.87308000003395,0.023884758887594768
29,240.75854000005347,0.023483550812616712
30,242.46514999997453,0.023126214188093217
31,252.4155800000153,0.02114841370667178
32,254.00930000006335,0.02084774446302988
33,257.34618000009505,0.020231985866115697
34,258.77365000001737,0.019974158917389198
35,266.45923999998195,0.01864142889845712
36,270.5133200000346,0.017974636234789225
37,272.45895999989443,0.01766315133221495
38,274.1818399999611,0.01739183806101457
39,275.3320800000147,0.017213026090302536
40,277.48352000008157,0.016883491820649115
41,279.45832000004884,0.016586569346140192
42,281.14252000006667,0.01633746957842987
43,306.3911000000371,0.0130216016596798
44,317.0867333333299,0.01182850516136419
45,339.0220799999588,0.009712650696050802
46,360.986840000034,0.007973167819283436
47,384.959399999927,0.006428202816713348
