,t_from_discovery,temp,dtemp0,dtemp1,radius,dradius0,dradius1,Lum,dLum0,dLum1
0,13.86263423333,13.2115923698804,0.696364912089251,0.801530537359014,11328948172.3486,709448265.202692,785755033.156113,1.03839222804589E+036,1.95187995017139E+034,1.9742380455282E+034
1,15.8205399999351,12.6568567255533,0.389168780258281,0.347739706570424,11664777038.1343,430493313.705936,487068814.133744,9.79689434708761E+035,8.34768032470413E+033,1.04359466065858E+034
2,16.8598159499961,12.2884031376493,0.566501065848538,0.507484925385066,12437581515.1351,673367890.492262,738311948.924043,1.02218692519511E+036,1.23780714881909E+034,1.66819917718322E+034
3,19.8679062499941,10.211879536584,0.414530052880467,0.415641596495126,16033927678.4409,847940326.133808,1027694416.86944,9.98027067705194E+035,1.39405532809573E+034,1.8076956910927E+034
4,22.8562164499963,9.43342063276194,0.404955020771547,0.352224810556795,17810625685.518,940463537.857123,1276432646.81849,9.53791127851124E+035,1.37424033982346E+034,1.59469351166858E+034
5,25.8415347500049,8.18754372868765,0.240929813063337,0.271600103369137,21773165124.3792,1189765044.96434,1074927670.87476,8.69346489736978E+035,1.33763483344267E+034,1.36296936221342E+034
6,33.6767999999211,6.74272708549548,0.046648153099536,0.075110920209278,28040423376.1652,623344016.437719,450599075.290014,6.78027238291568E+035,5.25281366863314E+033,5.33019619407795E+033
7,34.7689000000173,6.79989648520448,0.06584247204635,0.061830965394749,27872016327.6942,482164939.819404,477055539.293461,6.9171161247869E+035,6.13386483500745E+033,6.1370803366725E+033
8,34.8331435499931,6.3436184552108,0.177052863581925,0.12673901761403,33020352335.1969,1480357940.65306,2125782007.29866,7.22429071059646E+035,1.22386700116174E+034,1.08808147553645E+034
9,36.7215333332861,5.95530716382909,0.114245653775505,0.087721873638468,34660611746.2399,1493023056.72438,1659452742.88789,6.00993404953882E+035,1.22768280220931E+034,1.19117818145087E+034
10,40.6581600000136,6.27444442767579,0.061171945469113,0.071615191440907,32041147569.3067,740226256.881136,750972518.2223,6.50047776832487E+035,5.58416608531242E+033,4.61491408636211E+033
11,41.8446250000052,5.43671640895708,0.123818470550707,0.134549448017283,44431480164.2544,2528518182.73727,2510158018.56535,6.42589383668077E+035,1.00223293325893E+034,1.11650432772422E+034
12,44.6352599999809,5.75318852518019,0.037878593033013,0.04161322067659,35836062907.7015,606835517.337938,570428464.714423,5.48682239781432E+035,3.77007378628562E+033,3.26032577796066E+033
13,46.6290399999343,5.50912908658033,0.0463548341436,0.052452379210475,39399809768.6345,784738911.471278,733306411.377456,5.40701155885912E+035,3.65902882951628E+033,3.88959221534301E+033
14,48.6657200000191,5.03582545708192,0.04789969564148,0.049863892867839,49451375540.3397,1386488865.80204,1511658907.17806,5.46415882632456E+035,5.78792365683962E+033,7.50166881870322E+033
15,55.7432130000016,4.67027007662814,0.138525986297104,0.129795517094672,60399065530.2927,4470160696.44147,5112004469.23085,5.47556845466821E+035,8.61251091515344E+033,1.04940242113555E+034
16,56.6663999999801,5.15182561249583,0.030635573953223,0.038029441006662,41857299885.8722,842691786.594682,699079855.672381,4.40419194320925E+035,3.62899644458424E+033,3.39393732205265E+033
17,63.6936200000273,5.07235601653968,0.059451002910653,0.073516991532292,40989250410.0989,1425908629.2184,1275578143.47262,3.89750791099509E+035,3.6723485207825E+033,5.41133305939392E+033
18,63.8130277499949,4.38568396147428,0.135072621724334,0.13815927959654,66773544722.7908,6093475654.23596,5889232021.22853,4.74043140371561E+035,9.96187334560457E+033,1.1771035085004E+034
19,67.6227799999469,4.60819971823429,0.088259056013276,0.06374572479295,53742944504.2539,1866277895.36493,2629623268.78002,4.05700955104152E+035,5.4493897559642E+033,6.26935498048041E+033
