,t_from_discovery,temp,dtemp0,dtemp1,radius,dradius0,dradius1,Lum,dLum0,dLum1
0,0.013820000021951273,16.447141868244465,0.7972051768380712,0.7068690282774703,6513068028.10336,269659351.2697532,352460535.6015767,5.765246554413352e+35,7.923166279102407e+33,8.211096857931729e+33
1,3.010920000015176,14.550055554571257,0.3448304549492107,0.41493970015318915,8312402078.786859,249231353.62426838,235734867.35166478,7.060194561157693e+35,4.6237221756854056e+33,6.115629321251235e+33
2,3.267060000107449,14.490797441412653,0.3200869122443688,0.34948803925104777,8131753510.354915,215549619.65174028,212295789.30831885,6.685646725958552e+35,3.417288574234005e+33,4.7497245987707057e+33
3,6.656599999994796,14.733751388992815,0.7578870467435923,0.7154134093379838,8779429937.532547,465820064.6779963,545537928.1648967,8.109306763399297e+35,1.0160813948669049e+34,8.412541418535356e+33
4,9.64934000003268,13.367497343824006,0.31785980657286217,0.2566154269134149,10337750829.781738,262843856.36809906,299189984.4916413,8.807354303339771e+35,5.197117305886652e+33,6.097404631207844e+33
5,22.578899999956775,9.283356114851824,0.16544947736637994,0.14907844697465755,17447002545.434086,450392063.31571794,436287100.37023073,8.672293576507417e+35,8.02049350469231e+33,7.56293040470065e+33
6,24.823700000095414,7.003573192939032,0.11201773382132618,0.1019686305109504,25449075894.50624,667376511.0149924,764446212.8231926,6.6197727492227254e+35,6.962016271363225e+33,6.986555400384935e+33
7,30.935840000056487,7.200035884642443,0.09168690437272886,0.11225212526520245,24183677709.65754,682048372.7694316,665454771.0661007,6.677146830648813e+35,5.583611940130749e+33,5.223683503692703e+33
8,34.17986666678189,7.0260507404232175,0.1665024120427967,0.16759971948588337,24834747343.49042,996699426.6579376,1017201553.6414922,6.3550813322206625e+35,1.040168770498882e+34,1.172859426667848e+34
9,39.17640000010579,6.457833228314616,0.08438831480994047,0.08119724553214436,27556082826.46945,677862448.0554903,825130168.9316047,5.556275730346711e+35,5.1893322435100934e+33,4.908043341287683e+33
