,t_from_disovery,Ni_mass
0,13.862634233329999,0.3598030457937683
1,15.8205399999351,0.32009606244847477
2,16.8598159499961,0.3021102830541584
3,19.867906249994103,0.2597124172911821
4,22.8562164499963,0.22856542561029658
5,25.841534750004897,0.20525097596318637
6,33.6767999999211,0.16674576515720765
7,34.7689000000173,0.16305074547136578
8,34.8331435499931,0.1628423392737636
9,36.7215333332861,0.15711501043567971
10,40.6581600000136,0.14719846120909663
11,41.8446250000052,0.14462771161720012
12,44.635259999980896,0.13915967630739806
13,46.6290399999343,0.13565993561531123
14,48.6657200000191,0.13236409092836088
15,55.7432130000016,0.12248144222804351
16,56.666399999980094,0.12132591194653565
17,63.693620000027295,0.11320949305013756
18,63.813027749994895,0.11308018829402239
19,67.6227799999469,0.10907503440882356
20,71.7246199999863,0.1049910575812234
21,71.8038611000011,0.10491422123983857
22,78.65761999999809,0.09852641865533518
23,87.58300000004971,0.09086861564110134
24,89.51214000004991,0.08929958926097886
25,95.5874200000399,0.08454072610721365
26,105.501850000066,0.07732559463532444
27,112.737380000013,0.07245588449554816
28,117.750700000019,0.0692636978045557
29,127.70375999993799,0.06333781881299029
30,131.72980000003702,0.061087504541882214
31,135.66176249995598,0.05896701297767682
32,146.696700000073,0.05340103971700716
33,149.485149999797,0.05207976652180446
34,152.690149999871,0.05060145164069787
35,159.44993333350402,0.047619636345356126
36,162.648199999887,0.04627073016005162
37,165.623933333467,0.04505001812703367
38,168.476899999994,0.043909918507094824
39,169.480866666599,0.043515615623067154
40,381.754000000001,0.006461773607955354
