,line,absorption_mean_velocity,absorption_std_velocity,emission_mean_velocity,emission_std_velocity,t_from_discovery,Name
0,Halpha,18748.514789819594,687.0322885616517,3556.4740550467263,422.1047276756484,11.330509392516406,SN2018aad
0,Halpha,9675.802753034357,280.19371539276636,-787.8363861434831,60.13313759368049,125.09399550825354,SN2018aad
0,Hbeta,5622.083490757786,162.76225539931883,-3091.5737789922073,2359.2101679982143,125.09399550825354,SN2018aad
0,FeII 5169,1826.1165522951521,560.9277374960745,-17598.571184680593,2368.9637408757717,125.09399550825354,SN2018aad
0,Halpha,9671.768931927048,300.4059129782798,-1011.1019086268273,85.14507168472164,128.02525704809878,SN2018aad
0,Hbeta,6375.070902951185,423.71598738517133,-3736.7765212182767,446.7055141760336,128.02525704809878,SN2018aad
0,FeII 5169,2491.0653651846255,1463.6568259182761,-18319.230378589913,536.0271419633829,128.02525704809878,SN2018aad
0,Halpha,9397.130523302481,318.44886405073663,-565.4638605672983,72.58406304652273,162.1696241057723,SN2018aad
0,Hbeta,5886.093606346296,249.0827121433915,-8399.970139633453,1475.7601911182212,162.1696241057723,SN2018aad
0,FeII 5169,2032.027011185061,890.1235336736529,-20396.71401936779,973.7910019431436,162.1696241057723,SN2018aad
