,t_from_disovery,Ni_mass
0,15.820539999935136,0.34794902743098993
1,33.67679999992106,0.1812550469096321
2,34.76890000001731,0.17723850732400673
3,36.72153333328606,0.17078627789963685
4,40.6581600000136,0.1600068461488431
5,44.635259999980924,0.15126857124824755
6,46.62903999993432,0.1474643027397329
7,48.665720000019064,0.1438816721237361
8,56.66639999998006,0.13188301268395142
9,63.693620000027295,0.12306034851363275
10,67.62277999994694,0.11856613245800587
11,71.72461999998632,0.11412679086053497
12,78.65761999999812,0.10709963529432923
13,89.51214000004984,0.09706993892918038
14,95.58742000003987,0.09189698618067121
15,112.73738000001322,0.07876058939630437
16,117.75070000001871,0.07529063651399531
17,127.70375999993848,0.06884912075145455
18,131.72980000003736,0.0664029967471265
19,135.66176249995624,0.06409799189390487
20,146.69670000007318,0.058047698841429005
21,159.4499333335043,0.05176323015735687
22,162.64819999988688,0.05029694971740974
23,165.623933333467,0.04897001816625925
24,168.47689999999417,0.04773071346848264
25,169.48086666659947,0.04730210055784184
26,381.7540000000008,0.007024040924368531
