,t_from_discovery,temp,dtemp0,dtemp1,radius,dradius0,dradius1,Lum,dLum0,dLum1
0,15.820539999935136,11.573910990478382,0.27082240306448213,0.27801664108904234,8535835776.417418,272582996.2130506,286326263.6546254,4.0837230781391454e+35,3.993913776318442e+33,3.6579533634519664e+33
1,33.67679999992106,6.436558773108205,0.05493024103770949,0.04823452150075003,20027272811.030525,361415966.37949604,355699961.5696124,2.8766800530701146e+35,1.7748393209715758e+33,2.767974845505194e+33
2,34.76890000001731,6.45723378447272,0.05923118556966056,0.05347786453435077,20105151614.626053,281465502.4487588,333182321.0379306,2.947692922909966e+35,2.6644387056072446e+33,2.743382535632732e+33
3,36.72153333328606,5.652824212268474,0.09695428685512564,0.10991181055284027,25328281381.60969,1213899959.2463746,1130012869.145671,2.579145375836706e+35,5.0086778328784465e+33,5.182783467650769e+33
4,40.658160000013595,5.956702088319658,0.06368655675583845,0.0742818517943391,23287981912.95646,633153693.3929479,544511383.5397097,2.772978321130504e+35,2.0717631046167927e+33,2.040133154635874e+33
5,44.63525999998092,5.4751989770790574,0.0331690311228412,0.038240316231050286,25969054330.31151,415833397.16978574,398472381.17018735,2.3362032956435772e+35,1.1598993048017098e+33,1.2986424794335713e+33
6,46.62903999993432,5.264879038677676,0.044227166635031345,0.03704376136934329,28390908731.141457,395104455.942008,526412325.800316,2.310529478321076e+35,1.6586048675221248e+33,1.9675895968576666e+33
7,48.665720000019064,4.827420269216345,0.034423699563701504,0.037280679465212074,35608649683.26713,820947521.5372388,775945271.220294,2.345502668145657e+35,1.9744039316623488e+33,2.4576278013262003e+33
8,56.66639999998006,4.951394067369186,0.025834118203779788,0.02080390414464972,29850295980.788147,366315196.9441077,510512229.85361576,1.8839022560735777e+35,1.4454367450009444e+33,1.6072692031131475e+33
9,63.693620000027295,4.843372021248955,0.04610324662930676,0.05305572600325181,29786705956.483017,765385011.2544737,821669541.2684622,1.6737282862262444e+35,2.023410578072966e+33,2.136099817745093e+33
10,67.62277999994694,4.386331475968751,0.06761992640948655,0.0740278020024645,39562912468.61216,1806735984.3685582,1961652568.0833163,1.7437448623128474e+35,2.5395963489080842e+33,2.7978203260328885e+33
11,71.72461999998632,4.508790920016262,0.02038946327868718,0.02812005541004403,35060147378.75343,617244882.818396,449020147.0282593,1.586635369109739e+35,1.0856259394717979e+33,9.521344859899381e+32
12,78.65761999999813,4.237751546761081,0.029441009683774055,0.04245694449323434,41080461027.34159,1300367624.5298023,947664358.400125,1.546136592120514e+35,1.459523886532331e+33,1.4379715301433084e+33
13,89.51214000004984,3.9990594946368523,0.04574205415509791,0.0502384716321016,44460127366.2245,1537451028.141725,1617338794.4702387,1.2999253364457345e+35,1.3160081346780148e+33,1.4327575805969422e+33
14,95.58742000003986,4.317642441313918,0.03987905989760421,0.04973817513484935,32175864830.905293,1151992071.5552402,927938156.9462745,1.053612846382732e+35,1.1660075765187806e+33,1.1702910608615517e+33
15,112.73738000001322,3.9128942181581645,0.022458779598929723,0.027648812405815626,37981476491.99457,788511684.7761097,771918530.1884868,8.356381911740416e+34,4.916629451342544e+32,4.904367911123967e+32
16,117.7507000000187,3.994801182351208,0.021576499239805536,0.024882762618490428,31998149393.67258,770189982.7821912,552197124.0502698,6.658972351601182e+34,7.723546542382396e+32,9.442899163784308e+32
17,127.70375999993848,4.048702728985948,0.05737436769757576,0.060610572790567474,29981531029.42647,1137491420.8929615,1254310507.5390034,6.36158725414441e+34,8.058735725187007e+32,1.0207300635738913e+33
18,131.72980000003736,3.31878422590772,0.046850506370212486,0.057370379851477527,52568079082.25151,3349441736.5937657,3261589420.923975,5.693996551370857e+34,1.7074680430544707e+33,1.7513186320228632e+33
19,135.66176249995624,4.02041724335141,0.0247376941061086,0.02984554839519049,21667155430.027576,524601628.84516734,434527793.7932282,3.1824723722136064e+34,2.9156435073283013e+32,2.1002448380794443e+32
20,146.69670000007318,3.2890706005123507,0.048618220830066505,0.04704286291218507,36593786499.87106,2004421316.7528183,2209992799.519152,2.590011832718061e+34,5.073856984150757e+32,5.3360667110060594e+32
21,159.4499333335043,4.150230389622834,0.06934631253716983,0.09915850780017799,14097305061.260553,1051118183.5822961,752948455.1254381,1.6115379359760323e+34,3.3371920447179324e+32,2.3876004799298718e+32
22,162.64819999988686,3.861534354864212,0.08628376827806461,0.0823972557043402,22030019001.699303,1359644905.6920831,1624353524.6007025,2.6028213087786055e+34,2.9972362091963034e+32,3.256908069151107e+32
23,165.623933333467,3.4568809394182463,0.0716743508681712,0.08342760241273561,29263037867.854935,2272440644.3384476,2295681851.2230015,2.300500865780913e+34,6.238854647087913e+32,6.111548189052896e+32
24,168.4768999999942,4.028669905524001,0.170469328128648,0.15144024014532498,16651618102.465254,1951310231.8911614,2499153154.146584,1.89039546830311e+34,7.370395491240738e+32,5.5280994582801004e+32
25,169.48086666659947,4.389419112219073,0.2616139237500885,0.27758638075137565,13904020353.794565,2129613414.3208346,2462094576.9124656,2.120300566354161e+34,7.524640194926329e+32,7.685990343106108e+32
