,x,y,dy
114,6691.8,7.397e-15,2.329e-32
115,6717.4,7.507e-15,2.284e-32
116,6742.9,7.564e-15,2.2389999999999997e-32
117,6768.5,7.473e-15,2.2019999999999998e-32
118,6794.1,7.261e-15,2.1869999999999998e-32
119,6819.6,6.9989999999999995e-15,2.2219999999999998e-32
120,6845.2,6.6060000000000005e-15,2.304e-32
121,6870.8,6.312e-15,2.3629999999999997e-32
122,6896.3,6.0399999999999995e-15,2.314e-32
123,6921.9,5.931e-15,2.184e-32
124,6947.5,5.7780000000000004e-15,2.058e-32
125,6973.1,5.451e-15,1.9739999999999998e-32
126,6998.6,5.225e-15,1.9219999999999999e-32
127,7024.2,5.04e-15,1.879e-32
128,7049.8,4.847e-15,1.831e-32
129,7075.3,4.772e-15,1.785e-32
130,7100.9,4.675e-15,1.77e-32
131,7126.5,4.613000000000001e-15,1.81e-32
132,7152.1,4.665e-15,1.902e-32
133,7177.6,4.439e-15,1.984e-32
134,7203.2,4.291e-15,1.9869999999999997e-32
135,7228.8,4.45e-15,1.928e-32
136,7254.3,4.6310000000000005e-15,1.867e-32
137,7279.9,4.282e-15,1.8189999999999997e-32
138,7305.5,4.111e-15,1.766e-32
139,7331.1,4.32e-15,1.7e-32
140,7356.6,4.294e-15,1.6349999999999998e-32
141,7382.2,4.133e-15,1.5819999999999997e-32
142,7407.8,4.091e-15,1.543e-32
143,7433.3,4.0649999999999996e-15,1.5179999999999998e-32
144,7458.9,4.089e-15,1.503e-32
145,7484.5,4.089e-15,1.499e-32
146,7510.0,3.9340000000000004e-15,1.5179999999999998e-32
147,7535.6,3.785e-15,1.6019999999999997e-32
148,7561.2,3.595e-15,1.8289999999999998e-32
149,7586.8,3.4700000000000004e-15,2.241e-32
150,7612.3,3.4030000000000003e-15,2.6489999999999993e-32
151,7637.9,3.4030000000000003e-15,2.6389999999999995e-32
152,7663.5,3.4369999999999996e-15,2.2480000000000002e-32
153,7689.0,3.434e-15,1.8619999999999997e-32
154,7714.6,3.4310000000000003e-15,1.633e-32
155,7740.2,3.3119999999999998e-15,1.5330000000000002e-32
156,7765.8,3.307e-15,1.501e-32
157,7791.3,3.3259999999999996e-15,1.4969999999999997e-32
158,7816.9,3.183e-15,1.5019999999999996e-32
159,7842.5,3.122e-15,1.5139999999999999e-32
160,7868.0,3.244e-15,1.5349999999999997e-32
161,7893.6,3.2909999999999996e-15,1.564e-32
162,7919.2,3.3340000000000005e-15,1.594e-32
163,7944.7,3.4030000000000003e-15,1.613e-32
164,7970.3,3.486e-15,1.622e-32
165,7995.9,3.535e-15,1.625e-32
