,x,y
0,3500.5668945312523,-4.498055142650041e-18
1,3502.308204770091,-3.4161103460561943e-17
2,3504.049515008928,-1.2820350718409328e-17
3,3505.7908252477673,2.3885300099889247e-17
4,3507.532135486605,-7.801909634957278e-18
5,3509.2734457254437,1.2792902384142985e-17
6,3511.0147559642814,1.8844790664874893e-17
7,3512.75606620312,1.0204463168743059e-17
8,3514.4973764419587,1.2853255549586382e-18
9,3516.238686680796,-2.6160869001938957e-17
10,3517.9799969196342,3.2284902321336517e-17
11,3519.721307158473,6.190589264100316e-17
12,3521.4626173973115,1.1449198764248568e-16
13,3523.203927636149,7.680036483098408e-17
14,3524.945237874988,1.4273779681122782e-16
15,3526.6865481138257,9.553083086339805e-17
16,3528.4278583526648,3.434706027970877e-17
17,3530.169168591502,3.171732738094958e-17
18,3531.91047883034,8.837625788657374e-18
19,3533.651789069178,-6.458683132840184e-17
20,3535.393099308016,-5.4785978531844826e-17
21,3537.134409546855,-3.221184242091339e-17
22,3538.8757197856926,6.777532803966304e-17
23,3540.6170300245312,4.646030971354756e-17
24,3542.358340263369,9.218412427945752e-17
25,3544.099650502208,8.105558042530388e-17
26,3545.8409607410463,-4.09046272299515e-17
27,3547.582270979884,-6.419544916721115e-17
28,3549.3235812187227,4.9334418235034496e-17
29,3551.0648914575604,-2.109566988000112e-17
30,3552.8062016963977,-1.6101702589332674e-17
31,3554.547511935237,-5.837356011016081e-17
32,3556.2888221740745,-2.1611344200034028e-17
33,3558.0301324129127,4.923762817719845e-17
34,3559.771442651752,3.803176278810584e-17
35,3561.5127528905896,6.5745770923592725e-18
36,3563.2540631294282,3.4007214779402584e-17
37,3564.9953733682655,-9.147146020526753e-18
38,3566.7366836071037,-1.8029331201601748e-17
39,3568.4779938459424,3.305227115815706e-17
40,3570.21930408478,-3.17705647251735e-17
41,3571.9606143236188,-6.525373742546659e-17
42,3573.7019245624574,-4.2243660588107444e-17
43,3575.4432348012956,-3.818459598680358e-17
44,3577.184545040133,-1.715842085878549e-17
45,3578.9258552789715,-1.2712094282922064e-17
46,3580.66716551781,-1.3976548209869613e-17
47,3582.4084757566475,-5.742902821128551e-18
48,3584.1497859954857,3.076922867927295e-18
49,3585.8910962343243,3.2882348408003973e-17
50,3587.632406473162,7.530057388386213e-17
51,3589.3737167120007,6.301616754639634e-17
52,3591.1150269508394,2.8366471659056476e-17
53,3592.856337189677,7.26852736324308e-17
54,3594.597647428516,5.73422644096542e-17
55,3596.338957667353,4.115890585897275e-17
56,3598.080267906192,1.6550332266356934e-17
57,3599.82157814503,3.5377581739162034e-17
58,3601.5628883838676,5.949122670150778e-17
59,3603.3041986227063,3.4466442294434874e-17
60,3605.0455088615436,7.15502213589692e-18
61,3606.786819100383,6.342383523948698e-17
62,3608.5281293392204,9.350713018606462e-17
63,3610.2694395780595,3.624886762197639e-17
64,3612.0107498168964,2.779958493293918e-17
65,3613.752060055737,3.7328113328231476e-17
66,3615.493370294573,8.904726679947676e-18
67,3617.234680533412,1.195666546737148e-16
68,3618.9759907722496,3.865078505387111e-17
69,3620.7173010110882,5.89030309756305e-18
70,3622.458611249927,6.752362028798559e-17
71,3624.199921488765,8.920304476115518e-17
72,3625.9412317276024,3.853310041376197e-17
73,3627.6825419664415,1.225940563063201e-17
74,3629.42385220528,1.3251503723451567e-17
75,3631.165162444118,1.0679740138328471e-16
76,3632.906472682956,3.4372474576848844e-17
77,3634.6477829217934,-5.609150776646993e-17
78,3636.3890931606325,4.745555440141727e-18
79,3638.1304033994716,4.380706503305716e-17
80,3639.871713638309,-1.6339648123568761e-18
81,3641.613023877147,3.575891861899388e-17
82,3643.3543341159843,4.679651561915852e-17
83,3645.0956443548234,8.859703900950906e-17
84,3646.8369545936616,1.9373886817527086e-17
85,3648.5782648325,3.091137759958865e-18
