mjd		flux		flux_error		num_observations
58428.593672		484.54468603376284		11.695395721560425		1
58428.6020301		484.5817620436901		11.016605342928747		1
58428.6066453		518.7899920953582		16.378421229130304		1
58428.6107967		488.58904250533396		11.573313506832967		1
58428.6149242		491.4018897006303		14.66871312539195		1
58428.61912		482.5762937535054		11.588453023240266		1
58428.623762		444.7070779294143		18.495211189300967		1
58432.6050574		471.32266813125136		11.592137381700338		1
58432.6133553		443.85301025978123		11.878937617154095		1
58432.6194201		-128.3973258242553		123.54429515055236		1
58432.6222092		478.86792905473516		12.116267325134187		1
58432.6306886		461.2302295544349		11.77436325447061		1
58436.5833066		425.7639820874438		12.617508684918826		1
58436.5916387		441.71857797787186		12.67882424416854		1
58436.5962931		472.98263523704503		13.699192179121733		1
58436.6004629		488.87646490497616		34.713121768400676		1
58436.6045797		476.9841008182616		18.88233101345958		1
58436.6087689		438.76069635746984		12.293191423367366		1
58436.6133935		487.7362253271913		13.378875625294484		1
58436.62183		472.6831448867201		15.214681479607345		1
58456.6517598		303.80826817194077		11.094122152346149		1
58456.6625283		330.32997419089907		21.925140230183622		1
58460.5961692		256.44265563261825		11.306089025886978		1
58460.5998685		240.33352078244587		10.543664137552465		1
58460.6059728		264.045610805203		11.45007247906925		1
58460.609643		245.64300350537286		10.851067376357703		1
58460.6157346		273.6544279848961		10.512535048639469		1
58460.619424		247.5874123740047		10.737991862565261		1
58460.6255564		243.07430494703783		10.96870352702185		1
58460.6292262		247.2240771066418		10.370698769020155		1
58488.5327649		159.79356924434364		15.03592625730909		1
58488.5459813		166.62909646689553		13.002848568225952		1
58488.5528765		159.4837997986767		12.07247886922254		1
58488.5631248		152.7113227258911		14.416803194402311		1
58492.5637213		163.54674306417894		10.136569644125801		1
58492.5789629		171.7453085466398		10.884138845453409		1
58492.585443		158.1545609408866		10.89705540933483		1
58492.5969085		177.53696596307321		11.601727784345284		1
58520.5429545		78.39278688861867		10.289053279131199		1
58576.3857687		13.986023228839572		9.279188488364715		1
58576.3899109		8.762943805726275		10.01479292083003		1
58576.4021373		17.284484598488298		10.31493435716237		1
58576.4216551		0.14246652473024096		9.687723681656388		1
58580.3670722		28.041887576615423		11.083222232662289		1
58580.3679875		14.239154071110233		9.940541521341107		1
58580.3716442		9.428904539015955		10.414013968465383		1
58580.3725584		-6.570678427248496		10.59354277046186		1
58580.3838496		24.857479167930332		11.192372819068105		1
58580.3843062		6.769060453710596		10.618134045036228		1
58580.3902499		34.088954750640426		10.876631476858035		1
58580.3907075		34.35718862340286		10.712127251403173		1
58604.3232		-10.240967519310427		12.029072959190028		1
58604.3360939		19.083437328153		12.445719996621522		1
58604.3462432		2.6302233834736373		12.65795003296688		1
58604.3547108		-6.18801540577211		11.724660768831367		1
58612.2568999		-0.12230586536441336		11.252139613526026		1
58612.2587548		-2.856466036982327		11.177475796887366		1
58612.2643999		20.362347509911736		11.940882799022313		1
58612.2779242		20.69263482847546		11.592861681013362		1
