wavelength,flux
3299.969224,0
3499.152468,5.025207952e-14
3500.413121,6.533841393e-14
3501.673774,8.626198443e-14
3502.934428,7.226906112e-14
3504.195081,4.815045864e-14
3505.455735,2.217996599e-14
3506.716388,2.741220032e-14
3507.977042,5.874683742e-14
3509.237695,4.652321009e-14
3510.498349,4.140229622e-14
3511.759002,5.061154675e-14
3513.019655,4.095465625e-14
3514.280309,6.535977272e-14
3515.540962,5.158489941e-14
3516.801616,2.849887752e-14
3518.062269,2.190531217e-14
3519.322923,3.269017273e-14
3520.583576,4.282818471e-14
3521.844229,3.831264529e-14
3523.104883,3.699235471e-14
3524.365536,2.943465919e-14
3525.62619,3.974398867e-14
3526.886843,4.036984438e-14
3528.147497,3.947369707e-14
3529.40815,5.379445939e-14
3530.668804,3.760219133e-14
3531.929457,2.928811233e-14
3533.19011,2.866903627e-14
3534.450764,1.600968334e-14
3535.711417,7.836720029e-15
3536.972071,1.505893798e-14
3538.232724,2.082322081e-14
3539.493378,2.904430236e-14
3540.754031,2.554717268e-14
3542.014684,1.552283082e-14
3543.275338,1.833956435e-14
3544.535991,3.060700022e-14
3545.796645,3.316998979e-14
3547.057298,2.820652579e-14
3548.317952,2.988725261e-14
3549.578605,2.38161321e-14
3550.839259,2.298087969e-14
3552.099912,3.343027962e-14
3553.360565,3.563596019e-14
3554.621219,2.416665297e-14
3555.881872,2.290991866e-14
3557.142526,1.940312094e-14
3558.403179,2.782926918e-14
3559.663833,3.020593351e-14
3560.924486,2.124827549e-14
3562.18514,2.180500484e-14
3563.445793,2.78606941e-14
3564.706446,2.124266475e-14
3565.9671,2.680682587e-14
3567.227753,3.201605308e-14
3568.488407,3.605105716e-14
3569.74906,3.359105664e-14
3571.009714,1.633385301e-14
3572.270367,1.59819735e-14
3573.53102,2.299625334e-14
3574.791674,3.364547004e-14
3576.052327,3.670653869e-14
3577.312981,2.710175088e-14
3578.573634,1.7199973e-14
3579.834288,1.890266508e-14
3581.094941,2.513603983e-14
3582.355595,2.885789752e-14
3583.616248,2.869457601e-14
3584.876901,2.430784659e-14
3586.137555,1.59266487e-14
3587.398208,1.268153758e-14
3588.658862,2.334645233e-14
3589.919515,2.462346462e-14
3591.180169,2.055006793e-14
3592.440822,1.859853282e-14
3593.701475,2.026010991e-14
3594.962129,2.101576495e-14
3596.222782,1.669167022e-14
3597.483436,1.638761758e-14
3598.744089,2.367094049e-14
3600.004743,2.483375918e-14
3601.265396,1.922348558e-14
3602.52605,1.810273902e-14
3603.786703,2.127776748e-14
3605.047356,1.868201808e-14
3606.30801,1.709572188e-14
3607.568663,1.902414315e-14
3608.829317,2.107924837e-14
3610.08997,2.280373291e-14
3611.350624,2.494631631e-14
3612.611277,2.613986535e-14
3613.87193,2.752199612e-14
3615.132584,2.635012603e-14
3616.393237,2.427726192e-14
3617.653891,1.986420672e-14
3618.914544,1.734992663e-14
3620.175198,2.176715093e-14
3621.435851,2.569518661e-14
3622.696505,2.739758053e-14
3623.957158,2.349105272e-14
3625.217811,1.940521311e-14
3626.478465,1.884008628e-14
3627.739118,1.928421446e-14
3628.999772,1.991778155e-14
3630.260425,2.250111176e-14
3631.521079,2.167971511e-14
3632.781732,2.26127219e-14
3634.042385,2.327810355e-14
3635.303039,2.067273016e-14
3636.563692,1.831187823e-14
3637.824346,1.841321387e-14
3639.084999,2.066542534e-14
3640.345653,1.756083614e-14
