2006ai	-16.8729665373	0.393499887491	2453781.8	V	0.111951219512	0.0	34.01
2007W	-15.5996042771	0.332491983476	2454136.8	V	0.0453658536585	0.0	33.14
2007X	-17.0590462266	0.536728369432	2454143.8	V	0.0601951219512	0.122585365854	32.62
2007ab	-16.6859372642	0.682962744124	2454123.8	V	0.23412195122	0.0	34.97
2007od	-17.1429501475	0.363590643726	54404.0 	V	0.0323902439024	0.0	31.95
2008M	-16.0392792578	0.276832961911	2454471.7	V	0.039756097561	0.0	32.42
2008K	-16.3816990998	0.356122450224	2454477.7	V	0.0343902439024	0.0	35.35
2008aw	-16.6207877386	0.404008019431	2454517.7	V	0.0358487804878	0.0	33.21
2008fq	-18.1208663243	0.738273960704	2454720.0	V	0.0560975609756	0.46	33.38
2008if	-17.0769944722	0.4838787885	2454807.8	V	0.0290243902439	0.0677317073171	33.54
2008in	-13.8066875342	0.248643355931	2454825.6	V	0.0197073170732	0.0258048780488	30.45
2009N	-15.4389567726	0.249323181717	54848.1 	V	0.018487804878	0.032243902439	31.67
2009bw	-16.6133174125	0.410471788416	54916.5 	V	0.202609756098	0.08	31.44
2009ib	-15.8180827295	0.561440306924	55041.3 	V	0.0262926829268	0.133658536585	31.48
2009js	-15.1860735256	0.921906980228	55110.0 	V	0.314804878049	0.0451951219512	31.57
2009kr	-15.716643032	0.373821689448	55140.5 	V	0.0642926829268	0.01	32.09
2009md	-14.7866749268	0.489768509095	2455162.0	V	0.0239024390244	0.1	31.66
2012A	-15.6549505323	0.240426477936	55932.5 	V	0.0281951219512	0.00878048780488	29.96
2012aw	-16.709596657	0.226778248305	2456002.5	V	0.0246097560976	0.0580487804878	29.96
2012ec	-16.6658211782	0.42247067775	2456143.0	V	0.0234146341463	0.116585365854	31.32
2013ai	-15.0541571739	0.613110913891	2456348.0	V	0.0768292682927	0.153658536585	32.2
1991al	-17.4000273958	0.814479884866	2448444.0	V	0.0456	0.0354634146341	34.28
1993A	-16.4606012787	0.273742717065	2448996.0	V	0.154634146341	0.0	35.68
2001fa	-16.7330125799	inf     	52198.0 	V	0.0685365853659	0.0	33.9
2018is	-14.78		0.17            0		V	0.0		0.0	0.0
