Table 6
SN II V-band Light-curve Parameters

SN	DM	Explosion	t_PT	A_V(Host)	M_max	M_end	M_tail	s_1	s_2	s_3	OPTd	Pd	^56Ni Mass	
(mag)	Epoch (MJD)	(MJD)	(mag)	(mag)	(mag)	(mag)	(mag 100 day^-1)	(mag 100 day^-1)	(mag 100 day^-1)	(days)	(days)	( M_sun)	
2009bz	33.34(0.19)	54915.8^n(4)	 ... 	0.00(0.06)	-16.46(0.20)	-16.26(0.20)	 ... 	 ... 	0.50(0.02)	 ... 	 ... 	 ... 	 ... 	

Notes. Measurements made of our sample of SNe, as defined in Section 3 and outlined in Figure 1. In the first column we list the SN name. In Column 2 the distance modulus employed for each object is presented, followed by explosion epochs in Column 3, and V-band host-galaxy extinction values in Column 4. If an AV estimate has not been possible (see Section 3.3) then subsequent magnitudes are presented as lower limits. In Columns 5, 6 and 7 we list the absolute magnitudes of Mmax, Mend and Mtail respectively. These are followed by the decline rates: s1, s2 and s3, in Columns 8, 9 and 10 respectively. In Column 11 we present the duration OPTd and in Column 12 the Pd values are listed. Finally, in Column 13 derived 56Ni masses (or lower limits) are presented. 1sigma errors on all parameters are indicated in parenthesis, and are estimated as outlined in the main text. The values within this table are also archived in a file as part of the photometry package available from http://www.sc.eso.org/~janderso/SNII_A14.tar.gz, where we also include further values/measurements used in the process of our analysis.
* Absolute magnitudes are lower limits as no host galaxy extinction correction has been applied.
a Taken from Hamuy et al. (2001).
b Taken from Hendry et al. (2005).
c Taken from Sollerman et al. (2005).
1 Estimated using a SN Ia distance.
2 Estimated using a Cepheid distance.
s Explosion epoch estimation through spectral matching.
n Explosion epoch estimation from SN non-detection.
