wavelength,flux
3299.685087,0
3499.507534,6.329993089e-14
3500.772234,5.377045109e-14
3502.036933,2.818650024e-14
3503.301632,2.409515323e-14
3504.566331,2.293873133e-14
3505.83103,3.589163201e-14
3507.095729,4.837984871e-14
3508.360428,4.285863046e-14
3509.625127,4.280987525e-14
3510.889826,4.791530874e-14
3512.154525,3.383181051e-14
3513.419224,1.475768563e-14
3514.683923,2.410661867e-14
3515.948622,4.336088034e-14
3517.213321,3.497113081e-14
3518.47802,1.428483457e-14
3519.742719,2.358414672e-14
3521.007418,4.404398531e-14
3522.272117,4.916459763e-14
3523.536816,4.483882748e-14
3524.801515,2.652831635e-14
3526.066214,2.097760781e-14
3527.330913,5.016974791e-14
3528.595612,5.27605642e-14
3529.860311,3.735236743e-14
3531.12501,3.26550954e-14
3532.389709,3.084662246e-14
3533.654408,2.806740063e-14
3534.919107,3.532041332e-14
3536.183806,4.222359292e-14
3537.448505,4.250563795e-14
3538.713204,3.246244961e-14
3539.977904,2.599864802e-14
3541.242603,2.613388191e-14
3542.507302,2.69372232e-14
3543.772001,3.132717474e-14
3545.0367,4.618797817e-14
3546.301399,6.240981446e-14
3547.566098,4.290169701e-14
3548.830797,2.789669469e-14
3550.095496,3.422413245e-14
3551.360195,4.159352916e-14
3552.624894,4.129687111e-14
3553.889593,3.634914499e-14
3555.154292,2.77219213e-14
3556.418991,2.822087961e-14
3557.68369,3.135572314e-14
3558.948389,3.771040826e-14
3560.213088,4.043067489e-14
3561.477787,3.659409676e-14
3562.742486,3.221143987e-14
3564.007185,2.833647759e-14
3565.271884,2.489930259e-14
3566.536583,3.030966455e-14
3567.801282,3.11068242e-14
3569.065981,3.354220994e-14
3570.33068,3.086377996e-14
3571.595379,3.040932984e-14
3572.860078,3.129902275e-14
3574.124777,2.810965572e-14
3575.389476,3.131572286e-14
3576.654175,3.475029577e-14
3577.918874,2.861357595e-14
3579.183574,2.851791204e-14
3580.448273,3.111014457e-14
3581.712972,2.937639688e-14
3582.977671,1.99406904e-14
3584.24237,1.523848695e-14
3585.507069,2.538849122e-14
3586.771768,2.664517471e-14
3588.036467,2.223808431e-14
3589.301166,2.10524906e-14
3590.565865,2.369799642e-14
3591.830564,2.640587097e-14
3593.095263,2.516053602e-14
3594.359962,2.53665429e-14
3595.624661,2.837800931e-14
3596.88936,1.943469494e-14
3598.154059,1.09731348e-14
3599.418758,1.367470488e-14
3600.683457,2.001601874e-14
3601.948156,2.133702083e-14
3603.212855,2.448126811e-14
3604.477554,2.871307182e-14
3605.742253,2.385886153e-14
3607.006952,2.018872028e-14
3608.271651,2.437508745e-14
3609.53635,2.390196703e-14
3610.801049,2.111739535e-14
3612.065748,1.733165782e-14
3613.330447,1.555926679e-14
3614.595146,1.795960062e-14
3615.859845,2.063929268e-14
3617.124544,2.166033669e-14
3618.389244,2.124940713e-14
3619.653943,2.421912497e-14
3620.918642,2.552885644e-14
3622.183341,2.1111871e-14
3623.44804,2.062070709e-14
3624.712739,2.517988734e-14
3625.977438,2.537751537e-14
3627.242137,2.369652597e-14
3628.506836,2.119760598e-14
3629.771535,2.090708215e-14
3631.036234,1.823875218e-14
3632.300933,2.053760468e-14
3633.565632,2.298107959e-14
3634.830331,2.139842902e-14
3636.09503,2.170594095e-14
3637.359729,2.193116192e-14
3638.624428,2.352883377e-14
3639.889127,2.348492528e-14
3641.153826,1.903404158e-14
3642.418525,1.891508766e-14
3643.683224,1.950336221e-14
3644.947923,1.785893075e-14
3646.212622,1.867213828e-14
3647.477321,1.810368431e-14
3648.74202,1.670250716e-14
3650.006719,1.936076082e-14
3651.271418,1.805403971e-14
3652.536117,1.567329267e-14
3653.800816,1.710846125e-14
3655.065515,1.829612681e-14
3656.330214,1.691159724e-14
3657.594914,1.644673879e-14
3658.859613,1.505262589e-14
3660.124312,1.51297313e-14
3661.389011,1.279677641e-14
3662.65371,1.400721952e-14
3663.918409,1.74715775e-14
3665.183108,1.719487047e-14
3666.447807,1.479460102e-14
3667.712506,1.421616392e-14
3668.977205,1.428468719e-14
3670.241904,1.421182711e-14
3671.506603,1.363247605e-14
3672.771302,1.115459891e-14
3674.036001,1.019470051e-14
3675.3007,1.110275117e-14
3676.565399,1.14770635e-14
3677.830098,1.209892375e-14
3679.094797,1.255976643e-14
3680.359496,1.398963258e-14
3681.624195,1.373540072e-14
3682.888894,1.350461558e-14
3684.153593,1.382144741e-14
3685.418292,1.46575206e-14
3686.682991,1.513209961e-14
3687.94769,1.366842498e-14
3689.212389,1.287684897e-14
3690.477088,1.408150601e-14
3691.741787,1.430438918e-14
3693.006486,1.443035992e-14
3694.271185,1.456214808e-14
3695.535884,1.425957944e-14
3696.800584,1.439270761e-14
3698.065283,1.504312557e-14
3699.329982,1.503519904e-14
3700.594681,1.491639081e-14
3701.85938,1.545792269e-14
3703.124079,1.70650847e-14
3704.388778,1.898349404e-14
3705.653477,1.926273031e-14
3706.918176,1.816027797e-14
3708.182875,1.7969084e-14
3709.447574,1.88687431e-14
3710.712273,2.010500632e-14
3711.976972,1.972383472e-14
3713.241671,2.059985822e-14
3714.50637,2.283591847e-14
3715.771069,2.293592596e-14
3717.035768,2.230345323e-14
3718.300467,2.304911328e-14
3719.565166,2.19810979e-14
3720.829865,2.272936681e-14
3722.094564,2.197423694e-14
3723.359263,2.224018495e-14
3724.623962,2.39139373e-14
3725.888661,2.508015768e-14
3727.15336,2.4412301e-14
3728.418059,2.298492004e-14
3729.682758,2.360241722e-14
3730.947457,2.513122191e-14
3732.212156,2.59232282e-14
