mjd		flux		flux_error		num_observations
58408.6462507		311.4762387157964		20.729647286546175		1
58412.6262898		381.80112969823654		12.893066471291213		1
58412.6346656		358.3102130090829		13.100173454773667		1
58412.6436402		332.6844822136046		14.761856307031069		1
58412.6521623		437.81415498306444		30.98709309004673		1
58414.6278899		461.4782976049279		24.567626576071543		1
58414.6299394		298.8688818054926		24.759522497911		1
58414.6368462		414.0891181307506		23.98620484169698		1
58414.6388493		326.1418615562944		26.46948441616302		1
58414.6457363		480.17956387761774		40.76798047801218		1
58414.6477968		304.1680560845824		64.64066902449403		1
58416.5752661		447.6050038643751		25.39286909208199		1
58416.5831673		401.06761645070844		24.5921652358869		1
58416.5910354		452.03013998287145		26.023057099227145		1
58416.5989257		420.20768499653485		25.702258863030984		1
58418.6546492		454.1313253684425		177.8148006372212		1
58426.5956166		496.06920747083467		18.994196407386507		1
58426.6040816		468.1628318805294		19.583281856440443		1
58426.6120535		521.0059981308023		17.448891307085695		1
58426.6163856		327.7729482909462		21.6426968463179		1
58426.6206049		483.6646657248451		17.46081825721463		1
58426.6249467		428.7037398624508		16.6017624750655		1
58426.6329387		328.10823937209074		70.39967645706362		1
58430.5784497		523.3601760952089		17.757291623588014		1
58430.586908		518.4642240970105		17.384836037208757		1
58430.5948388		504.49086667456737		16.90086655526189		1
58430.5971518		366.31249519572026		16.254380815758655		1
58430.6032545		526.590577579331		18.37210911746467		1
58430.605558		437.5990239297517		18.020215787869578		1
58430.613478		416.4278933411915		17.061196708318363		1
58430.6219103		431.184172343143		16.615960398579695		1
58434.5782083		502.44281768814545		15.618844157556182		1
58434.5865795		529.2468342419924		16.739609575244987		1
58434.5945189		525.5605065501429		15.926075956064935		1
58434.6029023		492.77218076735284		16.23780183764275		1
58438.5728353		359.5212184459829		106.41828066001094		1
58438.5811939		277.33449098901394		442.41454514914136		1
58438.5876712		428.476960807393		182.81683661115437		1
58438.5890519		398.5409084695999		135.60313068260243		1
58438.5960428		724.0706149804226		174.38349889580857		1
58438.5974239		824.8647162790465		119.14712568475117		1
58438.6039493		482.4542444162444		95.90069078610362		1
58438.6123359		401.6290306193329		56.166511944849226		1
58442.5670778		428.5428679068047		20.697792608194337		1
58442.5759021		440.3907286814324		18.685816838942163		1
58442.5838597		436.3392065937665		18.285891605808132		1
58442.5921955		468.3698619339151		16.607369431229483		1
58446.5071157		515.1388630491925		42.09139610978471		1
58446.5149978		484.04681321753867		41.01403367027803		1
58446.5228895		444.5799708362415		38.475299425675686		1
58446.5307764		461.61589125161817		38.857271434703826		1
58450.5492634		483.97416135685387		22.84164559429904		1
58450.5576814		490.5346344400928		24.64489216388629		1
58450.5656243		446.410592404446		25.699543699189853		1
58450.5739947		494.6078409056464		25.133167160026332		1
58452.5945732		380.1336344457542		90.89228801272783		1
58454.5730518		371.91075791962044		13.547865447130713		1
58454.5757385		417.0061987421435		14.693171432189622		1
58454.5833761		343.57429717466584		13.56739384894151		1
58454.5860505		411.2765795301478		14.633021158485043		1
58454.5933585		364.41723324019273		13.584434950606859		1
58454.5959299		478.5815368726912		15.237619104450998		1
58454.605113		414.9141449664318		13.81749732299093		1
58458.5962137		425.8179951430128		15.040473482179376		1
58458.6060429		418.99582542934104		14.726610644341916		1
58458.6159604		408.9433836506158		15.346661196601474		1
58458.625735		428.1122611396736		14.709498203260578		1
58462.5561748		443.0326828831444		14.129150427084065		1
58462.5660732		417.781144313588		13.505855958413404		1
58462.5760877		431.7052515703706		13.790259795696732		1
58462.5863854		391.134012105082		12.843206367629556		1
58466.5893196		415.453615741575		16.360345249966556		1
58466.5991257		426.5791459874838		16.90890912467773		1
58466.6089781		431.8241206812012		17.029683632498077		1
58466.6187515		417.4156445679282		19.53422967189812		1
58470.5626536		372.44243512208493		16.47341539963068		1
58470.5733096		364.54551153025454		14.328956522576481		1
58470.5831001		396.74023568911633		14.95520543793115		1
58470.5928333		405.56207043831853		15.372475356636375		1
58470.596596		317.8287756348008		19.530228774454127		1
58472.5517812		404.87846085992766		22.241678606449973		1
58472.5561315		360.28813248323615		23.080021798010964		1
58472.5673313		387.1050265850098		20.802372923960803		1
58472.5773853		360.09448368627557		20.38996542240663		1
58478.562888		338.48964145011746		30.771785586374317		1
58478.5661137		329.0302211068624		22.861772856198883		1
58478.5813617		361.0089499360891		24.12913290061264		1
58478.5908231		286.3334414705518		24.464409123028844		1
58480.5379977		329.73732308453293		15.052203050934459		1
58480.5541522		333.50146973721735		15.45959113998522		1
58480.5550673		333.63570266564443		15.50374469028058		1
58480.5578113		301.21112160153206		14.375985349164031		1
58480.5582677		288.3460498035198		14.769498216886358		1
58480.5679058		292.7428991756202		15.20742333379845		1
