wavelength,flux
3298.796061,0
3499.792221,-1.540748061e-15
3501.056348,1.369767155e-15
3502.320475,8.724326066e-16
3503.584601,-1.194508414e-15
3504.848728,-7.528042906e-16
3506.112855,-1.499823134e-15
3507.376982,-1.719679324e-15
3508.641109,4.883278878e-16
3509.905235,1.401138926e-15
3511.169362,-3.133285251e-16
3512.433489,8.514871229e-16
3513.697616,-1.353277408e-16
3514.961743,-2.855876931e-16
3516.225869,1.716031047e-15
3517.489996,1.016681788e-15
3518.754123,-6.46978747e-16
3520.01825,-8.696930374e-16
3521.282377,-4.022111333e-16
3522.546503,6.666129178e-16
3523.81063,-4.672786955e-16
3525.074757,-9.474997369e-16
3526.338884,-5.523314443e-16
3527.60301,9.71623222e-17
3528.867137,1.08614876e-15
3530.131264,1.200924477e-15
3531.395391,2.226973497e-15
3532.659518,1.119891059e-15
3533.923644,6.133817146e-16
3535.187771,1.613924719e-15
3536.451898,1.672355381e-15
3537.716025,2.00568381e-15
3538.980152,2.914340734e-15
3540.244278,2.361201749e-15
3541.508405,2.080428115e-15
3542.772532,2.069962599e-15
3544.036659,3.2504667e-16
3545.300786,1.233643031e-15
3546.564912,7.278477353e-16
3547.829039,-2.52238709e-16
3549.093166,4.028287196e-17
3550.357293,1.63017367e-16
3551.62142,2.477791335e-16
3552.885546,5.976584008e-16
3554.149673,1.208602725e-15
3555.4138,1.217704094e-15
3556.677927,-5.422091359e-16
3557.942054,-6.530319621e-16
3559.20618,3.59158725e-16
3560.470307,6.203646012e-16
3561.734434,1.014397459e-16
3562.998561,-2.918875007e-16
3564.262688,5.538658445e-16
3565.526814,-1.025037239e-15
3566.790941,-7.298362511e-16
3568.055068,1.412106493e-16
3569.319195,1.2092326e-15
3570.583321,1.239036619e-15
3571.847448,1.270478058e-15
3573.111575,1.74771802e-15
3574.375702,-1.817395381e-17
3575.639829,-4.215080526e-16
3576.903955,1.366477596e-15
3578.168082,1.189997435e-15
3579.432209,6.536496344e-17
3580.696336,-1.548361405e-16
3581.960463,9.34607366e-16
3583.224589,1.766764085e-15
3584.488716,8.018129816e-16
3585.752843,2.207094957e-16
3587.01697,1.800027175e-15
3588.281097,1.049703156e-15
3589.545223,-5.568309892e-16
3590.80935,-1.146186985e-15
3592.073477,-2.210803903e-16
3593.337604,2.941301792e-16
3594.601731,-1.506555167e-16
3595.865857,6.040975452e-16
3597.129984,1.736719827e-15
3598.394111,8.658228379e-16
3599.658238,6.896917598e-16
3600.922365,9.85730569e-16
3602.186491,3.527647909e-16
3603.450618,-3.290920729e-16
3604.714745,-1.82639719e-16
3605.978872,4.212057148e-16
3607.242999,1.029248263e-15
3608.507125,1.021743869e-15
3609.771252,5.336680792e-16
3611.035379,7.57726452e-16
3612.299506,8.009422847e-16
3613.563632,4.721584524e-16
3614.827759,-2.657189736e-16
3616.091886,-2.511057495e-16
3617.356013,5.044132552e-16
3618.62014,6.146832071e-17
3619.884266,-3.278677397e-16
3621.148393,-4.272264779e-16
3622.41252,-4.100466976e-17
3623.676647,6.73909789e-16
3624.940774,8.990216061e-16
3626.2049,6.040702284e-16
3627.469027,1.521783364e-16
3628.733154,-1.743727039e-16
3629.997281,5.767199184e-17
3631.261408,3.458915685e-16
3632.525534,1.60679609e-16
3633.789661,-2.066618282e-17
3635.053788,2.106275405e-16
3636.317915,5.892063884e-16
3637.582042,6.116879134e-16
3638.846168,9.215643689e-17
3640.110295,4.910221209e-17
3641.374422,7.875949513e-16
3642.638549,-1.542108713e-16
3643.902676,5.919910621e-17
3645.166802,-1.487083468e-16
3646.430929,-1.997194005e-17
3647.695056,2.039939225e-16
3648.959183,-2.955089371e-16
3650.22331,-4.171991696e-16
3651.487436,4.424112641e-16
3652.751563,7.646677811e-16
3654.01569,8.367601912e-18
3655.279817,-2.888822543e-16
3656.543943,-3.735966398e-16
3657.80807,2.217589431e-16
3659.072197,2.187019217e-16
3660.336324,2.161216609e-16
3661.600451,7.619472172e-16
3662.864577,2.231008848e-17
3664.128704,-6.385640438e-17
3665.392831,8.380108552e-17
3666.656958,6.555428854e-16
3667.921085,3.349469698e-17
3669.185211,1.70516507e-16
3670.449338,2.233242335e-16
3671.713465,6.28380921e-17
3672.977592,9.038780695e-16
3674.241719,4.587367388e-16
3675.505845,-2.00246083e-17
3676.769972,-2.494935017e-16
3678.034099,-3.038025808e-16
3679.298226,2.097238622e-16
3680.562353,1.186997429e-16
3681.826479,-4.639925055e-17
3683.090606,3.058981138e-16
3684.354733,3.756753248e-17
3685.61886,-4.174328448e-16
3686.882987,-4.627810565e-16
3688.147113,-3.927822272e-16
3689.41124,4.250669741e-17
3690.675367,2.125047772e-16
3691.939494,3.862586177e-16
3693.203621,4.316164115e-16
3694.467747,3.760026568e-17
3695.731874,-1.710938261e-16
3696.996001,-9.751605772e-17
3698.260128,2.094487221e-16
3699.524255,9.777774457e-17
3700.788381,1.565256271e-16
3702.052508,3.2741553e-16
3703.316635,6.562841451e-16
3704.580762,5.868407312e-16
3705.844888,-2.145625611e-17
3707.109015,-1.647977376e-17
3708.373142,2.241584021e-16
3709.637269,-1.950924913e-18
3710.901396,-1.3773436e-16
3712.165522,-6.836838345e-17
3713.429649,1.05252367e-16
3714.693776,2.746670826e-16
3715.957903,1.854670488e-16
3717.22203,-2.740610504e-17
3718.486156,1.173206476e-17
3719.750283,-8.033304312e-18
3721.01441,2.158080469e-16
3722.278537,4.612637028e-16
3723.542664,2.936491704e-16
3724.80679,2.677789842e-16
3726.070917,-1.807803063e-17
3727.335044,-1.973364553e-16
3728.599171,5.131615174e-16
3729.863298,5.433064141e-16
3731.127424,1.859323611e-16
3732.391551,5.386234337e-16
3733.655678,1.864745151e-16
3734.919805,1.531432591e-17
3736.183932,2.808617522e-16
3737.448058,2.094159393e-16
3738.712185,1.493332983e-16
3739.976312,3.900118736e-16
3741.240439,2.397269206e-16
3742.504566,4.930988538e-16
3743.768692,5.468154599e-16
3745.032819,2.878685146e-16
3746.296946,8.022343673e-17
3747.561073,-1.022686471e-16
3748.825199,-9.220929704e-17
3750.089326,2.385792969e-16
3751.353453,4.918876496e-16
3752.61758,6.168991777e-16
3753.881707,4.829012124e-16
3755.145833,-1.201068979e-17
3756.40996,-2.058369967e-17
3757.674087,1.733233095e-16
3758.938214,4.63115158e-16
3760.202341,5.506470134e-16
3761.466467,1.460581527e-16
3762.730594,1.861022375e-17
3763.994721,8.534093186e-17
3765.258848,1.306742477e-16
3766.522975,3.450291302e-16
3767.787101,1.967967101e-16
3769.051228,5.658387875e-17
3770.315355,2.721289484e-16
3771.579482,4.024215681e-16
3772.843609,3.16737171e-16
3774.107735,2.283453124e-16
3775.371862,-8.279103844e-17
3776.635989,1.521808642e-16
3777.900116,1.135843918e-16
3779.164243,9.658574422e-17
3780.428369,1.144542268e-17
3781.692496,-5.997014442e-17
3782.956623,1.203193229e-16
3784.22075,1.646200195e-16
3785.484877,7.267180051e-17
3786.749003,3.706821318e-17
