wavelength,flux
3299.261323,0
3499.861278,5.826198221e-14
3501.130898,6.693371579e-14
3502.400518,6.156787726e-14
3503.670138,2.715858341e-14
3504.939758,7.448323913e-14
3506.209378,1.166379005e-13
3507.478998,5.998553162e-14
3508.748618,1.457692541e-14
3510.018238,4.480377386e-14
3511.287858,4.694757698e-14
3512.557478,3.865346086e-14
3513.827098,8.201197967e-14
3515.096717,2.182814408e-14
3516.366337,2.005131968e-14
3517.635957,5.587398626e-14
3518.905577,5.822174475e-14
3520.175197,5.77164049e-14
3521.444817,7.178214593e-14
3522.714437,7.680037568e-14
3523.984057,7.09516945e-14
3525.253677,7.595177064e-14
3526.523297,7.131547821e-14
3527.792917,6.29818192e-14
3529.062537,5.163808292e-14
3530.332157,6.00997591e-14
3531.601777,5.328510799e-14
3532.871397,2.597442796e-14
3534.141017,3.343383377e-14
3535.410637,6.569705446e-14
3536.680257,9.393524912e-14
3537.949877,6.41805741e-14
3539.219497,7.199128853e-14
3540.489117,6.500298889e-14
3541.758737,3.758636536e-14
3543.028357,3.238198487e-14
3544.297977,4.460414514e-14
3545.567597,5.113160126e-14
3546.837217,5.134352213e-14
3548.106837,5.160687483e-14
3549.376457,4.770398418e-14
3550.646077,2.93121003e-14
3551.915697,2.266030821e-14
3553.185317,3.841455013e-14
3554.454937,5.884146794e-14
3555.724556,5.862487145e-14
3556.994176,3.937141276e-14
3558.263796,3.672948989e-14
3559.533416,5.146248282e-14
3560.803036,3.374900457e-14
3562.072656,3.675268165e-14
3563.342276,4.255249582e-14
3564.611896,4.824031867e-14
3565.881516,4.691205581e-14
3567.151136,4.993136235e-14
3568.420756,3.752319703e-14
3569.690376,1.155150669e-14
3570.959996,3.42660843e-14
3572.229616,4.299954625e-14
3573.499236,4.016292778e-14
3574.768856,4.695870022e-14
3576.038476,3.946315998e-14
3577.308096,3.699660004e-14
3578.577716,5.418296969e-14
3579.847336,5.92788351e-14
3581.116956,4.908546781e-14
3582.386576,5.095977216e-14
3583.656196,4.709015635e-14
3584.925816,4.496907065e-14
3586.195436,3.600658115e-14
3587.465056,2.777272126e-14
3588.734676,3.691403465e-14
3590.004296,4.525865089e-14
3591.273916,4.300484868e-14
3592.543536,4.345278681e-14
3593.813156,4.242809378e-14
3595.082775,3.430170034e-14
3596.352395,3.68546407e-14
3597.622015,3.969845557e-14
3598.891635,2.735942169e-14
3600.161255,2.963315967e-14
3601.430875,2.783795465e-14
3602.700495,2.620107873e-14
3603.970115,3.488739991e-14
3605.239735,3.746222083e-14
3606.509355,4.411867668e-14
3607.778975,4.125441444e-14
3609.048595,3.114006855e-14
3610.318215,3.407316746e-14
3611.587835,4.083070484e-14
3612.857455,3.685157783e-14
3614.127075,3.368471138e-14
3615.396695,3.334103623e-14
3616.666315,3.115501699e-14
3617.935935,3.548980635e-14
3619.205555,3.73573717e-14
3620.475175,3.951864741e-14
3621.744795,3.634983617e-14
3623.014415,3.733783234e-14
3624.284035,3.369226352e-14
3625.553655,3.157728324e-14
3626.823275,3.708324473e-14
3628.092895,3.838705205e-14
3629.362515,3.736317896e-14
3630.632135,4.095660104e-14
3631.901755,3.038351228e-14
3633.171375,3.298738303e-14
3634.440995,3.433166837e-14
3635.710614,4.087004782e-14
3636.980234,3.937990003e-14
3638.249854,3.511782336e-14
3639.519474,3.903824421e-14
3640.789094,3.994565705e-14
3642.058714,3.951103089e-14
3643.328334,3.923164216e-14
3644.597954,3.988639524e-14
3645.867574,3.134702242e-14
3647.137194,2.713242872e-14
3648.406814,3.494390717e-14
3649.676434,3.07299047e-14
3650.946054,2.281770388e-14
3652.215674,3.109441348e-14
3653.485294,3.592057343e-14
3654.754914,3.743659977e-14
3656.024534,3.490233818e-14
3657.294154,3.217532577e-14
3658.563774,3.086649724e-14
3659.833394,2.872214863e-14
3661.103014,2.479928833e-14
3662.372634,2.456779761e-14
3663.642254,2.797251769e-14
3664.911874,2.683273491e-14
3666.181494,2.552350658e-14
3667.451114,3.172463648e-14
3668.720734,2.716071624e-14
3669.990354,2.649049972e-14
3671.259974,2.567010257e-14
3672.529594,2.235739568e-14
3673.799214,2.362818396e-14
3675.068833,2.777077308e-14
3676.338453,2.86238657e-14
3677.608073,2.65259921e-14
3678.877693,2.365932767e-14
3680.147313,2.799040364e-14
3681.416933,2.904532219e-14
3682.686553,3.028905116e-14
3683.956173,3.300687496e-14
3685.225793,3.198086056e-14
3686.495413,3.174503303e-14
3687.765033,3.325188771e-14
3689.034653,2.926201016e-14
3690.304273,2.887958495e-14
3691.573893,3.238565422e-14
3692.843513,3.436341177e-14
3694.113133,3.032439276e-14
3695.382753,2.975336381e-14
3696.652373,2.97652426e-14
3697.921993,2.999095655e-14
3699.191613,3.383978278e-14
3700.461233,3.497785964e-14
3701.730853,3.344689502e-14
3703.000473,3.397868263e-14
3704.270093,3.718541385e-14
3705.539713,3.743659977e-14
3706.809333,3.90008494e-14
3708.078953,3.992478277e-14
3709.348573,4.108209405e-14
3710.618193,3.979055177e-14
3711.887813,3.68989202e-14
3713.157433,4.124442622e-14
3714.427053,3.858614546e-14
3715.696672,3.672892069e-14
3716.966292,3.569536092e-14
3718.235912,3.805777647e-14
3719.505532,3.999909128e-14
3720.775152,4.161455929e-14
3722.044772,4.326042224e-14
3723.314392,4.430806985e-14
3724.584012,4.644788853e-14
3725.853632,4.551688074e-14
3727.123252,4.389404693e-14
3728.392872,4.485373864e-14
3729.662492,4.656635795e-14
3730.932112,4.687031064e-14
3732.201732,4.371065074e-14
3733.471352,4.41243789e-14
3734.740972,4.674893421e-14
3736.010592,4.267628121e-14
3737.280212,4.180087266e-14
3738.549832,4.449084601e-14
3739.819452,4.241171555e-14
3741.089072,4.69055506e-14
3742.358692,5.108759281e-14
3743.628312,4.45684715e-14
3744.897932,4.080384034e-14
3746.167552,4.468103879e-14
3747.437172,4.563796918e-14
3748.706792,4.594887093e-14
3749.976412,4.38285374e-14
3751.246032,4.320242081e-14
3752.515652,4.179318499e-14
3753.785272,4.134333595e-14
3755.054891,4.211139494e-14
3756.324511,4.205414906e-14
3757.594131,4.518080856e-14
3758.863751,4.890964071e-14
3760.133371,4.521673969e-14
3761.402991,4.325499784e-14
3762.672611,4.336538995e-14
3763.942231,4.373667159e-14
3765.211851,4.108799279e-14
3766.481471,4.032989491e-14
3767.751091,4.268716389e-14
3769.020711,4.471172171e-14
3770.290331,4.511008808e-14
3771.559951,4.384245923e-14
3772.829571,4.123618629e-14
3774.099191,4.043480841e-14
3775.368811,4.265922535e-14
3776.638431,4.563003756e-14
3777.908051,4.480345538e-14
3779.177671,4.572799862e-14
3780.447291,4.787386511e-14
3781.716911,4.511270372e-14
3782.986531,4.02216441e-14
3784.256151,3.882208818e-14
3785.525771,4.042216052e-14
3786.795391,4.327848775e-14
3788.065011,4.320184144e-14
3789.334631,3.953181369e-14
3790.604251,3.911526661e-14
3791.873871,3.950975018e-14
3793.143491,3.865995591e-14
3794.413111,3.797549907e-14
3795.68273,3.58226632e-14
3796.95235,3.62367776e-14
3798.22197,3.627963408e-14
3799.49159,3.435530397e-14
3800.76121,3.440859929e-14
3802.03083,3.207382073e-14
3803.30045,2.973810027e-14
3804.57007,3.260434118e-14
3805.83969,3.544631629e-14
3807.10931,3.258289092e-14
3808.37893,2.930621512e-14
3809.64855,2.886201071e-14
3810.91817,2.898139153e-14
3812.18779,3.019395647e-14
3813.45741,2.935512619e-14
3814.72703,2.635783742e-14
3815.99665,2.721071659e-14
3817.26627,2.723994431e-14
3818.53589,2.237275747e-14
3819.80551,2.244629856e-14
