wavelength,flux
3299.845952,0
3499.755649,3.765065516e-14
3501.0209,2.143871391e-14
3502.286151,1.258503765e-14
3503.551403,-2.769749668e-15
3504.816654,1.406386401e-14
3506.081905,2.922179981e-14
3507.347156,2.162805796e-14
3508.612408,8.898079417e-15
3509.877659,-1.752811653e-15
3511.14291,1.467087323e-14
3512.408161,1.49483087e-14
3513.673412,1.298849469e-14
3514.938664,2.926656381e-15
3516.203915,1.130032669e-14
3517.469166,2.234679252e-14
3518.734417,8.263875356e-15
3519.999669,5.066902386e-15
3521.26492,2.52103297e-14
3522.530171,4.927961793e-14
3523.795422,4.123918139e-14
3525.060674,2.149232262e-14
3526.325925,1.042189508e-14
3527.591176,8.794428842e-15
3528.856427,1.134888116e-14
3530.121679,1.298265398e-15
3531.38693,-1.937041361e-14
3532.652181,6.646640009e-15
3533.917432,9.201610285e-15
3535.182684,9.723578245e-16
3536.447935,1.156642887e-14
3537.713186,2.462873316e-14
3538.978437,1.741629166e-14
3540.243689,4.747263916e-15
3541.50894,1.603148935e-14
3542.774191,1.300591562e-14
3544.039442,1.073104093e-14
3545.304694,1.033015463e-14
3546.569945,1.361537277e-14
3547.835196,1.692919859e-14
3549.100447,1.47610365e-14
3550.365699,1.731540157e-14
3551.63095,2.234690094e-14
3552.896201,1.942639233e-14
3554.161452,9.269094247e-15
3555.426704,7.129107858e-15
3556.691955,3.92629756e-15
3557.957206,5.001048963e-15
3559.222457,1.566822911e-14
3560.487709,1.352759135e-14
3561.75296,1.244524079e-14
3563.018211,8.983489137e-15
3564.283462,6.262487274e-15
3565.548714,9.293278732e-15
3566.813965,1.210383824e-14
3568.079216,1.421781224e-14
3569.344467,1.956036753e-14
3570.609719,1.902198153e-14
3571.87497,9.470303536e-15
3573.140221,8.161342018e-15
3574.405472,1.179083585e-14
3575.670724,7.829826028e-15
3576.935975,6.010529277e-15
3578.201226,7.729683016e-15
3579.466477,1.848888271e-15
3580.731729,-3.094913547e-15
3581.99698,4.780646013e-16
3583.262231,1.113085742e-14
3584.527482,1.56095382e-14
3585.792734,1.086949778e-14
3587.057985,7.203824634e-15
3588.323236,1.019048822e-14
3589.588487,1.23338602e-14
3590.853738,7.825221557e-15
3592.11899,2.994688585e-15
3593.384241,-1.14746124e-15
3594.649492,1.521574835e-15
3595.914743,5.425529783e-15
3597.179995,8.121445919e-15
3598.445246,1.122313234e-14
3599.710497,1.120362178e-14
3600.975748,7.872515641e-15
3602.241,8.042285608e-15
3603.506251,7.334915688e-15
3604.771502,8.735925971e-15
3606.036753,6.652397715e-15
3607.302005,4.474352865e-15
3608.567256,7.381007833e-15
3609.832507,1.204546835e-14
3611.097758,1.48154194e-14
3612.36301,8.436338887e-15
3613.628261,7.038822192e-15
3614.893512,9.862321395e-15
3616.158763,8.730154288e-15
3617.424015,8.265530458e-15
3618.689266,1.090815806e-14
3619.954517,1.060811696e-14
3621.219768,9.684499533e-15
3622.48502,9.301561867e-15
3623.750271,7.644694272e-15
3625.015522,8.764886027e-15
3626.280773,7.6062034e-15
3627.546025,5.378314473e-15
3628.811276,4.09074943e-15
3630.076527,2.324112506e-15
3631.341778,5.948905512e-15
3632.60703,9.508150662e-15
3633.872281,9.65687186e-15
3635.137532,7.246247432e-15
3636.402783,6.504913609e-15
3637.668035,6.879178505e-15
3638.933286,7.406089326e-15
3640.198537,7.660715053e-15
3641.463788,5.161259315e-15
3642.72904,7.941018584e-15
3643.994291,1.001138818e-14
3645.259542,7.911853545e-15
3646.524793,8.081097504e-15
3647.790045,9.019383005e-15
3649.055296,8.429567706e-15
3650.320547,8.62961063e-15
3651.585798,5.915582389e-15
3652.85105,6.796101937e-15
3654.116301,6.237124142e-15
3655.381552,4.473519808e-15
3656.646803,5.342197411e-15
3657.912055,6.038197184e-15
3659.177306,7.241112718e-15
3660.442557,1.104458627e-14
3661.707808,8.280943917e-15
3662.97306,4.861634116e-15
3664.238311,5.981256665e-15
3665.503562,8.936757482e-15
3666.768813,5.473505729e-15
3668.034065,2.382636977e-15
3669.299316,5.544919501e-15
3670.564567,5.710763046e-15
3671.829818,4.128140429e-15
3673.095069,6.596467706e-15
3674.360321,5.802907102e-15
3675.625572,4.995834204e-15
3676.890823,4.800385587e-15
3678.156074,4.656020679e-15
3679.421326,5.307128977e-15
3680.686577,4.686374529e-15
3681.951828,3.406395725e-15
3683.217079,4.920136987e-15
3684.482331,4.821680842e-15
3685.747582,4.534671351e-15
3687.012833,5.522610347e-15
3688.278084,5.587804355e-15
3689.543336,4.512857712e-15
3690.808587,4.233190302e-15
3692.073838,3.988588363e-15
3693.339089,5.125051621e-15
3694.604341,5.138141245e-15
3695.869592,5.152049526e-15
3697.134843,5.031475657e-15
3698.400094,4.742604811e-15
3699.665346,5.002225491e-15
3700.930597,5.275768429e-15
3702.195848,5.697821653e-15
3703.461099,5.188196657e-15
3704.726351,4.803522997e-15
3705.991602,3.451078831e-15
3707.256853,3.603505586e-15
3708.522104,5.328107018e-15
3709.787356,5.520309805e-15
3711.052607,4.979399647e-15
3712.317858,5.578712727e-15
3713.583109,6.784829622e-15
3714.848361,6.536233923e-15
3716.113612,6.466136864e-15
3717.378863,6.273174288e-15
3718.644114,6.305841384e-15
3719.909366,7.217201825e-15
3721.174617,7.181691663e-15
3722.439868,7.054807398e-15
3723.705119,6.856140903e-15
3724.970371,6.574193281e-15
3726.235622,6.619890708e-15
3727.500873,6.745486212e-15
3728.766124,6.463473792e-15
3730.031376,6.737214089e-15
3731.296627,7.894165803e-15
3732.561878,7.398320339e-15
3733.827129,7.417848684e-15
3735.092381,8.427849076e-15
3736.357632,8.471005405e-15
3737.622883,7.863847953e-15
3738.888134,8.083802928e-15
3740.153386,8.440490196e-15
3741.418637,7.869477334e-15
3742.683888,7.809174517e-15
3743.949139,8.451516024e-15
3745.214391,7.686641884e-15
3746.479642,6.39497085e-15
3747.744893,6.51166912e-15
3749.010144,7.240269074e-15
3750.275395,7.253637795e-15
3751.540647,7.283176375e-15
3752.805898,7.494550905e-15
3754.071149,8.708749765e-15
3755.3364,8.497188887e-15
3756.601652,7.564257482e-15
3757.866903,7.272205604e-15
3759.132154,7.105943201e-15
3760.397405,6.863411833e-15
3761.662657,6.871423494e-15
3762.927908,6.085307039e-15
3764.193159,6.345252133e-15
3765.45841,7.206410626e-15
3766.723662,6.728153377e-15
3767.988913,5.884971465e-15
3769.254164,5.935876028e-15
3770.519415,6.292355773e-15
3771.784667,6.54503036e-15
3773.049918,6.130454319e-15
3774.315169,6.672358046e-15
3775.58042,6.157398437e-15
3776.845672,6.037211238e-15
3778.110923,6.027403443e-15
3779.376174,5.520040872e-15
3780.641425,5.826235236e-15
3781.906677,6.014674232e-15
3783.171928,5.731564481e-15
3784.437179,5.817526467e-15
3785.70243,6.536680732e-15
3786.967682,6.835875216e-15
3788.232933,6.637458595e-15
3789.498184,6.389589226e-15
3790.763435,5.929770191e-15
3792.028687,5.537807388e-15
3793.293938,5.76224825e-15
3794.559189,6.275733175e-15
3795.82444,5.882748004e-15
3797.089692,5.795632783e-15
3798.354943,6.206335342e-15
3799.620194,6.160714147e-15
3800.885445,5.910107168e-15
3802.150697,6.069995648e-15
3803.415948,6.804155526e-15
3804.681199,6.698468684e-15
3805.94645,6.57110161e-15
3807.211702,6.332391209e-15
3808.476953,5.704684314e-15
3809.742204,5.384779028e-15
3811.007455,5.062056511e-15
3812.272707,4.000884317e-15
3813.537958,4.486160927e-15
3814.803209,4.842456866e-15
3816.06846,4.82746523e-15
3817.333712,4.469223233e-15
3818.598963,4.338323185e-15
3819.864214,4.763079291e-15
3821.129465,4.706486479e-15
3822.394717,3.898824894e-15
3823.659968,3.830261812e-15
3824.925219,4.136629394e-15
3826.19047,4.439698629e-15
3827.455721,3.916338994e-15
3828.720973,3.16929151e-15
3829.986224,3.12244e-15
3831.251475,3.287866381e-15
3832.516726,3.356811052e-15
3833.781978,3.17301909e-15
3835.047229,3.225795172e-15
3836.31248,3.059167486e-15
3837.577731,2.695404528e-15
3838.842983,2.264937514e-15
3840.108234,2.100138572e-15
3841.373485,2.409925202e-15
3842.638736,2.352443852e-15
3843.903988,2.482357319e-15
3845.169239,3.010564947e-15
3846.43449,2.602754582e-15
3847.699741,2.243883027e-15
3848.964993,2.521838583e-15
3850.230244,2.536820267e-15
3851.495495,2.225911741e-15
3852.760746,1.961432691e-15
3854.025998,2.118478953e-15
3855.291249,2.429831747e-15
3856.5565,2.034442908e-15
3857.821751,1.587498668e-15
3859.087003,1.754226621e-15
3860.352254,2.003103536e-15
3861.617505,2.102710587e-15
3862.882756,2.464323987e-15
3864.148008,2.414664987e-15
3865.413259,2.074075368e-15
3866.67851,2.341286522e-15
3867.943761,2.441593223e-15
3869.209013,2.191560743e-15
3870.474264,2.158058261e-15
3871.739515,2.016282522e-15
3873.004766,2.015745926e-15
3874.270018,2.084882873e-15
3875.535269,2.278879252e-15
3876.80052,2.067408372e-15
3878.065771,2.220132647e-15
3879.331023,2.481690704e-15
3880.596274,2.354349253e-15
3881.861525,2.698931785e-15
3883.126776,2.717029491e-15
3884.392028,2.551250743e-15
3885.657279,2.49739173e-15
3886.92253,2.596886761e-15
3888.187781,2.624933928e-15
3889.453033,2.416914494e-15
3890.718284,2.328778387e-15
3891.983535,2.616713685e-15
3893.248786,2.699495062e-15
3894.514038,2.909858871e-15
3895.779289,2.906600335e-15
3897.04454,3.069659683e-15
3898.309791,3.519192773e-15
3899.575043,3.669314964e-15
3900.840294,3.463313586e-15
3902.105545,3.644890769e-15
3903.370796,4.101383929e-15
3904.636047,3.846377884e-15
3905.901299,3.734156606e-15
3907.16655,4.036264036e-15
3908.431801,4.354637463e-15
3909.697052,4.473999652e-15
3910.962304,4.38726009e-15
3912.227555,4.315834884e-15
3913.492806,4.647505881e-15
3914.758057,4.801780227e-15
3916.023309,4.924695295e-15
3917.28856,5.21997691e-15
3918.553811,5.500269006e-15
3919.819062,5.645012113e-15
3921.084314,5.697813183e-15
3922.349565,5.805367309e-15
3923.614816,6.237191905e-15
3924.880067,6.226205464e-15
3926.145319,6.409458078e-15
3927.41057,6.746971485e-15
3928.675821,6.695220736e-15
3929.941072,6.626471731e-15
3931.206324,6.889242103e-15
3932.471575,6.903535361e-15
3933.736826,6.966437298e-15
3935.002077,7.312465927e-15
3936.267329,7.934268578e-15
3937.53258,8.32325406e-15
3938.797831,8.585149024e-15
3940.063082,8.773181021e-15
3941.328334,8.711461965e-15
3942.593585,8.800618959e-15
3943.858836,8.911468467e-15
3945.124087,8.82576652e-15
3946.389339,8.850197491e-15
3947.65459,9.093744028e-15
3948.919841,9.18181089e-15
3950.185092,9.003265662e-15
3951.450344,8.988660273e-15
3952.715595,9.195182152e-15
3953.980846,8.953835361e-15
3955.246097,8.407910768e-15
3956.511349,8.480939407e-15
3957.7766,8.748131715e-15
3959.041851,8.895717042e-15
3960.307102,8.925851933e-15
3961.572354,8.763848412e-15
3962.837605,8.650219789e-15
3964.102856,8.261976308e-15
3965.368107,8.196616705e-15
3966.633359,8.171248068e-15
3967.89861,8.105248955e-15
3969.163861,8.202669602e-15
3970.429112,8.373350976e-15
3971.694364,8.497382858e-15
3972.959615,8.539820903e-15
3974.224866,8.169886886e-15
3975.490117,8.417895592e-15
3976.755369,8.504949403e-15
3978.02062,8.342918777e-15
3979.285871,8.206205118e-15
3980.551122,8.384467437e-15
3981.816374,8.952326795e-15
3983.081625,9.100868422e-15
3984.346876,9.016052472e-15
3985.612127,9.240051182e-15
3986.877378,9.371017722e-15
3988.14263,9.448466179e-15
3989.407881,9.359308338e-15
3990.673132,8.995186662e-15
3991.938383,8.851893251e-15
3993.203635,9.047182627e-15
3994.468886,9.132350942e-15
3995.734137,9.220578741e-15
3996.999388,9.149033256e-15
3998.26464,9.13669961e-15
3999.529891,8.984309912e-15
4000.795142,8.674940445e-15
4002.060393,8.806612564e-15
4003.325645,9.053821671e-15
4004.590896,8.787341717e-15
4005.856147,8.393442598e-15
4007.121398,8.239782351e-15
4008.38665,8.231130756e-15
4009.651901,8.017703018e-15
4010.917152,7.787340549e-15
4012.182403,7.905328851e-15
4013.447655,7.998334762e-15
4014.712906,8.166997657e-15
4015.978157,7.915422095e-15
4017.243408,7.728301506e-15
4018.50866,8.06299641e-15
4019.773911,8.252828352e-15
4021.039162,8.027523518e-15
4022.304413,7.959848973e-15
4023.569665,7.835596016e-15
4024.834916,7.959957393e-15
4026.100167,8.097263975e-15
4027.365418,8.152294012e-15
4028.63067,8.207507855e-15
4029.895921,8.304782812e-15
4031.161172,8.395013844e-15
4032.426423,8.454936343e-15
4033.691675,8.530291782e-15
4034.956926,8.57338543e-15
4036.222177,8.832559724e-15
4037.487428,9.124067807e-15
4038.75268,9.339099826e-15
4040.017931,9.296520327e-15
4041.283182,9.265309704e-15
4042.548433,9.608976382e-15
4043.813685,9.486381068e-15
4045.078936,9.261284604e-15
4046.344187,9.425337098e-15
4047.609438,9.547735053e-15
4048.87469,9.316309558e-15
4050.139941,9.218885522e-15
4051.405192,9.545304068e-15
4052.670443,9.82678074e-15
4053.935695,9.931252089e-15
4055.200946,1.0171009e-14
4056.466197,1.067716201e-14
4057.731448,1.096828215e-14
4058.9967,1.111824679e-14
4060.261951,1.145101046e-14
4061.527202,1.16902024e-14
4062.792453,1.154321762e-14
4064.057704,1.146751575e-14
4065.322956,1.162590667e-14
4066.588207,1.191315248e-14
4067.853458,1.224512926e-14
4069.118709,1.218924033e-14
4070.383961,1.203431038e-14
4071.649212,1.226739522e-14
4072.914463,1.240309498e-14
4074.179714,1.243803e-14
4075.444966,1.275293737e-14
4076.710217,1.2779635e-14
4077.975468,1.295358931e-14
4079.240719,1.284907646e-14
4080.505971,1.279735408e-14
4081.771222,1.317497662e-14
4083.036473,1.289713287e-14
4084.301724,1.292061347e-14
4085.566976,1.302122574e-14
4086.832227,1.309741127e-14
4088.097478,1.323755711e-14
4089.362729,1.322257818e-14
4090.627981,1.302476041e-14
4091.893232,1.275466024e-14
4093.158483,1.237720965e-14
4094.423734,1.234060258e-14
4095.688986,1.247911195e-14
4096.954237,1.241320008e-14
4098.219488,1.201869703e-14
4099.484739,1.138571693e-14
4100.749991,1.105496665e-14
4102.015242,1.111206684e-14
4103.280493,1.087841619e-14
4104.545744,1.071244517e-14
4105.810996,1.041290382e-14
4107.076247,9.964779348e-15
4108.341498,9.669103016e-15
4109.606749,9.456146227e-15
4110.872001,9.237908188e-15
4112.137252,9.268547911e-15
4113.402503,9.340438985e-15
4114.667754,8.840000909e-15
4115.933006,8.757717587e-15
4117.198257,8.870692301e-15
4118.463508,8.775370601e-15
4119.728759,8.66898411e-15
4120.994011,8.686693875e-15
4122.259262,8.592846012e-15
4123.524513,8.414343136e-15
4124.789764,8.483846424e-15
4126.055016,8.508552681e-15
4127.320267,8.72373886e-15
4128.585518,8.614642711e-15
4129.850769,8.489313175e-15
4131.116021,8.792408669e-15
4132.381272,9.048199913e-15
4133.646523,9.111801076e-15
4134.911774,9.084805289e-15
4136.177026,9.118302054e-15
4137.442277,9.243605332e-15
4138.707528,9.24463363e-15
4139.972779,9.127479656e-15
4141.23803,9.035504583e-15
4142.503282,9.044108744e-15
4143.768533,9.218559415e-15
4145.033784,9.302157331e-15
4146.299035,9.186607638e-15
4147.564287,9.089593566e-15
4148.829538,8.878219035e-15
4150.094789,8.69240203e-15
4151.36004,8.631114961e-15
4152.625292,8.395253554e-15
4153.890543,8.054135599e-15
4155.155794,7.868600655e-15
4156.421045,7.946208355e-15
4157.686297,8.00828994e-15
4158.951548,7.744341769e-15
4160.216799,7.498937689e-15
4161.48205,7.522229401e-15
4162.747302,7.403231436e-15
4164.012553,7.069356883e-15
4165.277804,6.965218417e-15
4166.543055,7.039668378e-15
4167.808307,7.042693556e-15
4169.073558,6.933908691e-15
4170.338809,6.747727462e-15
4171.60406,6.697264203e-15
4172.869312,6.759713825e-15
4174.134563,6.428941106e-15
4175.399814,6.238808044e-15
4176.665065,6.417835234e-15
4177.930317,6.346838626e-15
4179.195568,6.141647859e-15
4180.460819,6.033640994e-15
4181.72607,6.001191585e-15
4182.991322,6.113612763e-15
4184.256573,6.203769256e-15
4185.521824,6.247117437e-15
4186.787075,6.282137167e-15
4188.052327,6.22304349e-15
4189.317578,6.189908832e-15
4190.582829,6.344277622e-15
4191.84808,6.48521374e-15
4193.113332,6.493542191e-15
4194.378583,6.673073789e-15
4195.643834,6.612646459e-15
4196.909085,6.455360911e-15
4198.174337,6.425694429e-15
4199.439588,6.571677169e-15
4200.704839,6.873637639e-15
4201.97009,7.112892259e-15
4203.235342,7.06732951e-15
4204.500593,6.982696095e-15
4205.765844,6.950876879e-15
4207.031095,6.859537928e-15
4208.296347,6.887266399e-15
4209.561598,6.99590388e-15
4210.826849,6.963615831e-15
4212.0921,6.836502444e-15
4213.357352,6.838972815e-15
4214.622603,6.906637619e-15
4215.887854,6.816299437e-15
4217.153105,6.692975675e-15
4218.418357,6.459279285e-15
4219.683608,6.346732323e-15
4220.948859,6.283925677e-15
4222.21411,6.036769934e-15
4223.479361,5.794653613e-15
4224.744613,5.541392455e-15
4226.009864,5.417769267e-15
4227.275115,5.438718933e-15
4228.540366,5.214114171e-15
4229.805618,4.831324312e-15
4231.070869,4.673693175e-15
4232.33612,4.676154653e-15
4233.601371,4.587931936e-15
4234.866623,4.578958892e-15
4236.131874,4.554497004e-15
4237.397125,4.203146891e-15
4238.662376,4.227930228e-15
4239.927628,4.352084082e-15
4241.192879,4.206085672e-15
4242.45813,4.136635323e-15
4243.723381,4.117256479e-15
4244.988633,4.035212021e-15
4246.253884,3.943719334e-15
4247.519135,4.016521816e-15
4248.784386,3.957118972e-15
4250.049638,3.860406867e-15
4251.314889,3.902462053e-15
4252.58014,3.936817709e-15
4253.845391,3.956678514e-15
4255.110643,4.019801951e-15
4256.375894,4.015019179e-15
