mjd	flux	flux_error	num_observations
58408.6462507	311.4762387157964	20.729647286546175	1
58412.639189475	364.4062778247382	47.38048692455601	4
58414.637842983335	383.72307380485427	81.38385184016539	6
58416.587098625	429.54336089412357	24.01319808384888	4
58418.6546492	454.1313253684425	177.8148006372212	1
58426.61523251428	458.70451209876455	82.7532193635744	7
58430.600193637496	462.5973194789047	60.56581549402074	8
58434.590552249996	512.1889454540977	17.717862675617695	4
58438.592563025006	465.9892892902953	189.99752716615407	8
58442.579758775006	445.61070748912937	17.535669996278052	4
58446.518944849995	474.44740854505955	30.575887619004348	4
58450.56164094999	479.58413187994324	22.101141896210972	4
58452.5945732	380.1336344457542	90.89228801272783	1
58454.5875169	397.02953635047027	44.95295917874249	7
58458.610988	420.65006501338513	8.605710700512342	4
58462.571180275	419.5306085836288	22.435067379975624	4
58466.604043725005	423.008788735396	7.7205662328379026	4
58470.58169852001	375.82003965727927	34.72662126092466	5
58472.563157325	377.89044913494337	21.907374346007398	4
58478.575296625	328.01996820073	31.28723965476983	4
58480.560169200005	317.6536589457006	20.410125533070975	8
58486.527810449996	308.0921429898371	12.639464086959933	4
58490.55758395001	298.3707675215218	16.381485644707205	4
58494.505337525	251.39504775763498	16.6034770160838	4
58496.559955975	268.7671716585802	9.041548749549102	4
58498.50892127143	244.3682933419462	20.619513687588736	7
58500.51458393	240.95792342239088	38.755835939202925	10
58502.493567625	274.96257143966386	30.49928448654586	4
58506.49681317499	265.77773114135806	12.154022986955987	4
58508.48757147501	252.98646883437485	16.172543643637724	4
58510.479612075	222.586682421837	26.76406917368643	8
58514.48576931667	214.75835413469935	28.350909303451367	6
58518.469391574996	200.9830481847085	14.330163146002713	4
58526.47628495	171.61555066813864	7.478785061728327	4
58530.460103512494	146.1337804494401	34.94158970009741	8
58538.44536636667	172.15141505327583	211.9494083910027	3
58542.449557375	106.73206002384232	9.29679388493772	4
58546.452148674995	90.54045167055283	17.156862853641364	4
58550.43245958334	245.08993983221336	3828.48289989661	12
58554.412897275004	60.36874408456442	19.201881386889532	4
58558.406816325	32.528088829986956	20.47380936562616	4
58562.37194785	73.2942001102447	24.095300192030503	4
58566.403402050004	100.39188239693537	45.7115822505806	4
58568.3913111	58.204691013395404	9.406680122404648	4
58572.3622432	56.20346775382236	18.131220468293048	4
58578.3776489375	47.85917303600756	14.894442568008083	8
58582.356880325	42.96496559216421	10.178101496493337	4
58588.3732184	31.500400219558102	38.35540959376246	1
58590.35651615	6.037165662473278	49.171409292469654	4
58594.33057618751	44.472664309549565	17.381894174590027	8
58596.340074925	38.35034206875386	21.33411693951875	4
58598.325167025	38.06756218341391	15.437894088280721	4
58600.33350604445	18.873100463890736	88.1389383141434	9
58610.3142954125	36.13476289163706	13.13664009925849	8
58614.25272	30.34037630441894	12.742914708333766	4
58616.265718225004	23.55598639546678	12.720761504986312	4
58618.258149525005	30.48312566214545	25.533257721208017	4
58628.249423925	39.42253358785154	24.155170061983455	4
