mjd	flux	flux_error	num_observations
58428.61013575714	485.9553802090746	21.72337424528471	7
58432.61814612	462.39979227760585	295.69300084718543	5
58436.602534175	456.8730013536167	25.11738372757111	8
58456.65714405	309.2145723605133	21.79652081039624	2
58460.61269933749	252.09933480817466	11.53810659832806	8
58488.548686875	159.98570470988847	5.696200835153006	4
58492.581258925	167.30100241868152	8.607722533646182	4
58520.5429545	78.39278688861867	10.289053279131199	1
58576.39986799999	9.937347150072327	7.476432223028384	4
58580.3785469375	17.70726713498687	14.60494822270488	8
58604.340061974995	0.8864028828324122	13.013310349167721	4
58612.26449469999	8.991447361923315	12.77561098472118	4
